Subject	Trial	Instruction	Food	Liking	Taste	Health	Amount	Choice	ChoiceRT	FirstDevTimeChoice	InitAngleChoice	NumChangeMindChoice	FinalDevTimeChoice	MaxVelocityChoice	DrxFirstDevChoice	TotalAUCChoice	AUCtoNonChosenChoice	AUCtoChosenChoice	MaxDevChoice
8.0000	1.0000	Focus on Health	CornFlakes	6.0000	1.0000	5.0000	3	-1.0000	1.1592	0.2015	1.1617	1.0000	0.4200	0.4201	1.0000	0.0838	0.1781	-0.0943	0.8626
8.0000	2.0000	Focus on Health	HoneyNutCheerios	1.0000	1.0000	5.0000	5	-1.0000	0.8737	0.3866	0.3246	0.0000	0.3866	0.1545	-1.0000	0.3138	0.3139	-0.0001	0.7195
8.0000	3.0000	Focus on Health	RedPepper	1.0000	1.0000	6.0000	2	-1.0000	0.7216	0.2855	0.3245	0.0000	0.2855	0.1921	-1.0000	0.2657	0.2657	-0.0000	0.5392
8.0000	4.0000	Focus on Health	BabyFoodSweetPotatos	1.0000	1.0000	2.0000	2	-1.0000	0.6887	0.2352	0.1780	0.0000	0.2352	0.2228	-1.0000	0.3544	0.3544	-0.0000	0.8016
8.0000	5.0000	Focus on Health	Cheetos	4.0000	5.0000	3.0000	3	-1.0000	0.6214	0.1513	0.4800	0.0000	0.1513	0.2810	-1.0000	0.1043	0.1043	-0.0000	0.3067
8.0000	6.0000	Focus on Health	HoneyNutCheerios	1.0000	2.0000	4.0000	2	-1.0000	0.6551	0.3865	0.6582	0.0000	0.3865	0.1818	-1.0000	0.1719	0.1719	-0.0000	0.4340
8.0000	7.0000	Focus on Health	NatureValleyChocolate	1.0000	1.0000	4.0000	4	-1.0000	0.7219	0.1510	0.5939	1.0000	0.3527	0.2318	1.0000	0.2104	0.2104	-0.0000	0.5555
8.0000	8.0000	Focus on Health	Shreddies	1.0000	1.0000	3.0000	5	-1.0000	0.8731	0.4703	0.5239	0.0000	0.4703	0.1882	-1.0000	0.1410	0.1410	-0.0000	0.2876
8.0000	9.0000	Focus on Health	AlmondMilk	1.0000	1.0000	6.0000	4	-1.0000	0.8909	0.3365	0.3041	0.0000	0.3365	0.4038	-1.0000	0.3974	0.3974	-0.0000	0.7382
8.0000	10.0000	Focus on Health	WelchsFruitSnacks	1.0000	1.0000	2.0000	1	-1.0000	0.8739	0.3530	0.4180	0.0000	0.3530	0.2316	-1.0000	0.1910	0.1910	-0.0000	0.3944
8.0000	11.0000	Respond Naturally	Butternut	6.0000	1.0000	6.0000	3	-1.0000	0.6889	0.3025	0.1311	0.0000	0.3025	0.2007	-1.0000	0.3536	0.3536	-0.0000	0.7317
