0.0,0.0,0.0,0.0
0.0,211.0,0.0,211.0
0.0,422.0,0.0,422.0
84.0,239.0,86.0,244.0
87.0,190.0,90.0,196.0
100.0,86.0,107.0,93.0
105.0,283.0,96.0,285.0
113.0,328.0,110.0,327.0
116.0,119.0,127.0,158.0
132.0,359.0,132.0,365.0
134.0,192.0,122.0,209.0
147.0,211.0,140.0,228.0
154.0,187.0,143.0,193.0
157.0,28.0,157.0,40.0
168.0,210.0,164.0,222.0
174.0,69.0,177.0,127.0
176.0,321.0,171.0,320.0
187.0,213.0,185.0,225.0
188.0,188.0,192.0,202.0
201.0,274.0,196.0,280.0
211.0,0.0,211.0,0.0
211.0,422.0,211.0,422.0
215.0,317.0,209.0,318.0
215.0,389.0,213.0,390.0
216.0,69.0,213.0,131.0
223.0,14.0,214.0,28.0
232.0,274.0,230.0,282.0
242.0,186.0,236.0,204.0
242.0,209.0,243.0,227.0
252.0,319.0,250.0,323.0
260.0,207.0,260.0,225.0
272.0,183.0,284.0,197.0
273.0,77.0,265.0,135.0
281.0,210.0,288.0,232.0
284.0,367.0,279.0,369.0
294.0,185.0,302.0,215.0
294.0,36.0,286.0,47.0
318.0,132.0,301.0,164.0
318.0,322.0,309.0,335.0
325.0,281.0,325.0,292.0
346.0,186.0,343.0,201.0
355.0,121.0,347.0,136.0
422.0,0.0,422.0,0.0
422.0,211.0,422.0,211.0
422.0,422.0,422.0,422.0
