Subject	Trial	TimePt	Time	ChoiceX	ChoiceSignedX	ChoiceY	Drx	Trajectory
39	1	1	0.000	0.0000	0.0000	0.0000	-1	0.0816
39	1	2	0.017	0.0087	0.0087	0.1356	-1	0.1475
39	1	3	0.034	0.0232	0.0232	0.2535	-1	0.1842
39	1	4	0.050	0.0377	0.0377	0.3433	-1	0.2321
39	1	5	0.067	0.0536	0.0536	0.4173	-1	0.2343
39	1	6	0.084	0.0667	0.0667	0.4754	-1	0.1331
39	1	7	0.101	0.0710	0.0710	0.5123	-1	0.0252
39	1	8	0.118	0.0710	0.0710	0.5282	-1	0.0244
39	1	9	0.134	0.0710	0.0710	0.5387	-1	0.0238
39	1	10	0.151	0.0710	0.0710	0.5405	-1	0.0237
39	1	11	0.168	0.0710	0.0710	0.5405	-1	0.0237
39	1	12	0.185	0.0710	0.0710	0.5405	-1	0.0237
39	1	13	0.201	0.0710	0.0710	0.5405	-1	0.0237
39	1	14	0.218	0.0696	0.0696	0.5405	-1	-0.5817
39	1	15	0.235	0.0681	0.0681	0.5423	-1	-0.5814
39	1	16	0.252	0.0667	0.0667	0.5423	-1	-0.5819
39	1	17	0.268	0.0638	0.0638	0.5458	-1	-0.5814
39	1	18	0.285	0.0623	0.0623	0.5475	-1	-0.5812
39	1	19	0.302	0.0623	0.0623	0.5475	-1	-0.5812
39	1	20	0.319	0.0623	0.0623	0.5475	-1	-0.5812
39	1	21	0.336	0.0623	0.0623	0.5475	-1	-0.5812
39	1	22	0.352	0.0609	0.0609	0.5475	-1	-0.5816
39	1	23	0.369	0.0609	0.0609	0.5475	-1	-0.5816
39	1	24	0.386	0.0594	0.0594	0.5475	-1	-0.5821
39	1	25	0.403	0.0580	0.0580	0.5458	-1	-0.5832
39	1	26	0.420	0.0580	0.0580	0.5440	-1	-0.5839
39	1	27	0.437	0.0565	0.0565	0.5405	-1	-0.5858
39	1	28	0.453	0.0536	0.0536	0.5352	-1	-0.5888
39	1	29	0.470	0.0493	0.0493	0.5299	-1	-0.5924
39	1	30	0.487	0.0464	0.0464	0.5246	-1	-0.5955
39	1	31	0.504	0.0449	0.0449	0.5211	-1	-0.5974
39	1	32	0.520	0.0420	0.0420	0.5158	-1	-0.6005
39	1	33	0.537	0.0391	0.0391	0.5106	-1	-0.6037
39	1	34	0.554	0.0377	0.0377	0.5088	-1	-0.6050
39	1	35	0.571	0.0362	0.0362	0.5070	-1	-0.6062
39	1	36	0.588	0.0348	0.0348	0.5053	-1	-0.6075
39	1	37	0.604	0.0348	0.0348	0.5053	-1	-0.6075
39	1	38	0.621	0.0333	0.0333	0.5053	-1	-0.6080
39	1	39	0.638	0.0333	0.0333	0.5053	-1	-0.6080
39	1	40	0.655	0.0333	0.0333	0.5053	-1	-0.6080
39	1	41	0.672	0.0333	0.0333	0.5053	-1	-0.6080
39	1	42	0.688	0.0333	0.0333	0.5053	-1	-0.6080
39	1	43	0.705	0.0333	0.0333	0.5053	-1	-0.6080
39	1	44	0.722	0.0304	0.0304	0.5053	-1	-0.9116
39	1	45	0.739	0.0217	0.0217	0.5106	-1	-0.7736
39	1	46	0.756	0.0029	0.0029	0.5264	-1	-0.6093
39	1	47	0.772	-0.0043	-0.0043	0.5352	-1	-0.3886
39	1	48	0.789	-0.0101	-0.0101	0.5475	-1	-0.3441
39	1	49	0.806	-0.0116	-0.0116	0.5511	-1	-0.0038
39	1	50	0.823	-0.0116	-0.0116	0.5563	-1	-0.0037
39	1	51	0.839	-0.0116	-0.0116	0.5634	-1	-0.0037
39	1	52	0.856	-0.0116	-0.0116	0.5687	-1	-0.0036
39	1	53	0.873	-0.0116	-0.0116	0.5757	1	-0.0036
39	1	54	0.890	-0.0116	-0.0116	0.5915	1	0.7287
39	1	55	0.907	0.0319	0.0319	0.6285	1	0.9193
39	1	56	0.923	0.1725	0.1725	0.6989	1	0.9092
39	1	57	0.940	0.3623	0.3623	0.7940	1	0.8695
39	1	58	0.957	0.5783	0.5783	0.9085	1	0.8252
39	1	59	0.974	0.7855	0.7855	1.0123	1	0.6969
39	1	60	0.991	0.9623	0.9623	1.1144	1	1.0000
39	1	61	1.007	1.1957	1.1957	1.2729	1	1.0000
39	1	62	1.024	1.3507	1.3507	1.2835	1	1.0000
39	1	63	1.041	1.3754	1.3754	1.2835	1	1.0000
39	1	64	1.058	1.3754	1.3754	1.2835	1	1.0000
39	1	65	1.075	1.3754	1.3754	1.2835	1	1.0000
39	1	66	1.091	1.3754	1.3754	1.2835	1	1.0000
39	1	67	1.108	1.3754	1.3754	1.2835	1	1.0000
39	1	68	1.125	1.3754	1.3754	1.2835	1	1.0000
39	1	69	1.142	1.3754	1.3754	1.2694	1	1.0000
39	1	70	1.159	1.3696	1.3696	1.2465	1	1.0000
39	1	71	1.175	1.3449	1.3449	1.1901	1	1.0000
39	1	72	1.192	1.3174	1.3174	1.1338	1	1.0000
39	1	73	1.209	1.2870	1.2870	1.0827	1	1.0000
39	1	74	1.226	1.2507	1.2507	1.0423	1	1.0000
39	1	75	1.242	1.2188	1.2188	1.0211	1	1.0000
39	1	76	1.259	1.1957	1.1957	1.0106	1	1.0000
39	1	77	1.276	1.1739	1.1739	1.0070	1	1.0000
39	1	78	1.293	1.1536	1.1536	1.0070	1	1.0000
39	1	79	1.310	1.1478	1.1478	1.0070	1	1.0000
39	1	80	1.326	1.1406	1.1406	1.0070	1	1.0000
39	1	81	1.343	1.1246	1.1246	1.0176	1	1.0000
39	1	82	1.360	1.1101	1.1101	1.0229	1	1.0000
39	1	83	1.377	1.0870	1.0870	1.0299	1	1.0000
39	1	84	1.394	1.0667	1.0667	1.0387	1	1.0000
39	1	85	1.410	1.0478	1.0478	1.0475	1	1.0000
39	1	86	1.427	1.0449	1.0449	1.0493	1	1.0000
39	1	87	1.444	1.0449	1.0449	1.0493	1	1.0000
39	1	88	1.461	1.0449	1.0449	1.0493	1	1.0000
39	1	89	1.478	1.0420	1.0420	1.0493	1	1.0000
39	1	90	1.494	1.0348	1.0348	1.0370	1	1.0000
39	1	91	1.511	1.0188	1.0188	1.0176	1	1.0000
39	1	92	1.528	1.0072	1.0072	1.0070	1	1.0000
39	1	93	1.545	1.0014	1.0014	1.0000	1	1.0000
39	1	94	1.562	1.0000	1.0000	1.0000	1	1.0000
39	1	95	1.578	1.0000	1.0000	1.0000	1	1.0000
39	1	96	1.595	1.0000	1.0000	1.0000	1	1.0000
39	2	1	0.000	0.0000	0.0000	0.0000	1	0.0000
39	2	2	0.017	0.0000	0.0000	0.1576	1	0.0000
39	2	3	0.034	0.0000	0.0000	0.3214	1	0.0000
39	2	4	0.050	0.0000	0.0000	0.4370	1	0.0000
39	2	5	0.067	0.0000	0.0000	0.5210	1	0.0533
39	2	6	0.084	0.0030	0.0030	0.5714	1	0.0523
39	2	7	0.101	0.0045	0.0045	0.5966	1	0.0013
39	2	8	0.118	0.0045	0.0045	0.6071	1	0.0013
39	2	9	0.134	0.0045	0.0045	0.6092	1	0.0013
39	2	10	0.151	0.0045	0.0045	0.6092	1	0.0013
39	2	11	0.168	0.0045	0.0045	0.6092	1	0.0013
39	2	12	0.185	0.0045	0.0045	0.6092	1	0.0013
39	2	13	0.202	0.0045	0.0045	0.6092	1	0.0013
39	2	14	0.218	0.0045	0.0045	0.6092	1	0.0013
39	2	15	0.235	0.0045	0.0045	0.6092	1	0.0013
39	2	16	0.252	0.0045	0.0045	0.6092	1	0.0013
39	2	17	0.269	0.0045	0.0045	0.6092	1	0.0013
39	2	18	0.285	0.0045	0.0045	0.6092	1	0.0013
39	2	19	0.302	0.0045	0.0045	0.6092	1	0.0013
39	2	20	0.319	0.0045	0.0045	0.6092	1	0.0013
39	2	21	0.336	0.0045	0.0045	0.6092	1	0.0013
39	2	22	0.353	0.0045	0.0045	0.6092	1	0.0013
39	2	23	0.369	0.0045	0.0045	0.6092	1	0.0013
39	2	24	0.386	0.0045	0.0045	0.6092	1	0.0013
39	2	25	0.403	0.0045	0.0045	0.6092	1	0.0013
39	2	26	0.420	0.0045	0.0045	0.6092	1	0.0013
39	2	27	0.436	0.0045	0.0045	0.6092	1	0.0013
39	2	28	0.453	0.0045	0.0045	0.6092	1	0.0013
39	2	29	0.470	0.0045	0.0045	0.6092	1	0.0013
39	2	30	0.487	0.0045	0.0045	0.6092	1	0.0013
39	2	31	0.504	0.0045	0.0045	0.6092	1	0.0013
39	2	32	0.520	0.0045	0.0045	0.6092	1	0.0013
39	2	33	0.537	0.0045	0.0045	0.6092	1	0.0013
39	2	34	0.554	0.0045	0.0045	0.6092	1	0.0013
39	2	35	0.571	0.0076	0.0076	0.6092	1	0.0021
39	2	36	0.587	0.0091	0.0091	0.6092	1	0.0026
39	2	37	0.604	0.0091	0.0091	0.6092	1	0.0026
39	2	38	0.621	0.0091	0.0091	0.6092	1	0.0026
39	2	39	0.638	0.0091	0.0091	0.6092	1	0.0026
39	2	40	0.655	0.0091	0.0091	0.6092	1	0.0026
39	2	41	0.671	0.0091	0.0091	0.6092	1	0.0026
39	2	42	0.688	0.0091	0.0091	0.6092	1	0.0026
39	2	43	0.705	0.0091	0.0091	0.6092	1	0.0026
39	2	44	0.722	0.0091	0.0091	0.6092	1	0.0026
39	2	45	0.738	0.0091	0.0091	0.6092	1	0.0026
39	2	46	0.755	0.0091	0.0091	0.6092	1	0.0026
39	2	47	0.772	0.0091	0.0091	0.6092	1	0.0026
39	2	48	0.789	0.0091	0.0091	0.6092	1	0.0026
39	2	49	0.806	0.0091	0.0091	0.6092	1	0.0026
39	2	50	0.822	0.0091	0.0091	0.6092	1	0.0026
39	2	51	0.839	0.0091	0.0091	0.6092	1	0.0026
39	2	52	0.856	0.0136	0.0136	0.6092	1	0.0039
39	2	53	0.873	0.0363	0.0363	0.6050	1	0.0104
39	2	54	0.890	0.0756	0.0756	0.6008	1	1.0000
39	2	55	0.906	0.1286	0.1286	0.6008	1	1.0000
39	2	56	0.923	0.2163	0.2163	0.6008	1	1.0000
39	2	57	0.940	0.3540	0.3540	0.6155	1	1.0000
39	2	58	0.957	0.5008	0.5008	0.6471	1	1.0000
39	2	59	0.974	0.6354	0.6354	0.6702	1	1.0000
39	2	60	0.990	0.7352	0.7352	0.7038	1	1.0000
39	2	61	1.007	0.7988	0.7988	0.7311	1	1.0000
39	2	62	1.024	0.8487	0.8487	0.7668	1	1.0000
39	2	63	1.041	0.8638	0.8638	0.7773	1	1.0000
39	2	64	1.057	0.8699	0.8699	0.7878	1	1.0000
39	2	65	1.074	0.8790	0.8790	0.8025	1	1.0000
39	2	66	1.091	0.8911	0.8911	0.8214	1	1.0000
39	2	67	1.108	0.9077	0.9077	0.8445	1	1.0000
39	2	68	1.125	0.9304	0.9304	0.8739	1	1.0000
39	2	69	1.142	0.9546	0.9546	0.9013	1	1.0000
39	2	70	1.158	0.9697	0.9697	0.9223	1	1.0000
39	2	71	1.175	0.9773	0.9773	0.9433	1	1.0000
39	2	72	1.192	0.9818	0.9818	0.9559	1	1.0000
39	2	73	1.209	0.9864	0.9864	0.9706	1	1.0000
39	2	74	1.226	0.9909	0.9909	0.9790	1	1.0000
39	2	75	1.242	0.9970	0.9970	0.9853	1	1.0000
39	2	76	1.259	0.9985	0.9985	0.9874	1	1.0000
39	2	77	1.276	0.9985	0.9985	0.9874	1	1.0000
39	2	78	1.293	0.9985	0.9985	0.9916	1	1.0000
39	2	79	1.310	0.9985	0.9985	0.9979	1	1.0000
39	2	80	1.326	1.0000	1.0000	1.0000	1	1.0000
39	2	81	1.343	1.0000	1.0000	1.0000	1	1.0000
39	2	82	1.360	1.0000	1.0000	1.0000	1	1.0000
39	2	83	1.377	1.0000	1.0000	1.0000	1	1.0000
39	3	1	0.000	-0.0000	0.0000	0.0000	1	0.2231
39	3	2	0.017	-0.0233	0.0233	0.1314	1	0.3030
39	3	3	0.034	-0.0552	0.0552	0.2578	1	0.3045
39	3	4	0.051	-0.0988	0.0988	0.4236	1	0.2956
39	3	5	0.067	-0.1163	0.1163	0.4877	1	0.3258
39	3	6	0.084	-0.1294	0.1294	0.5287	1	0.2812
39	3	7	0.101	-0.1352	0.1352	0.5501	1	0.1982
39	3	8	0.118	-0.1366	0.1366	0.5583	1	0.0445
39	3	9	0.134	-0.1366	0.1366	0.5599	1	0.0443
39	3	10	0.151	-0.1366	0.1366	0.5599	1	0.0443
39	3	11	0.168	-0.1366	0.1366	0.5599	1	0.0443
39	3	12	0.185	-0.1366	0.1366	0.5599	1	0.0443
39	3	13	0.201	-0.1366	0.1366	0.5599	1	0.0443
39	3	14	0.218	-0.1366	0.1366	0.5599	1	0.0443
39	3	15	0.235	-0.1366	0.1366	0.5599	1	0.0443
39	3	16	0.251	-0.1366	0.1366	0.5599	1	0.0443
39	3	17	0.268	-0.1366	0.1366	0.5599	1	0.0443
39	3	18	0.285	-0.1366	0.1366	0.5599	1	0.0443
39	3	19	0.302	-0.1366	0.1366	0.5599	1	0.0443
39	3	20	0.319	-0.1366	0.1366	0.5599	1	0.0443
39	3	21	0.335	-0.1366	0.1366	0.5599	1	0.0443
39	3	22	0.352	-0.1366	0.1366	0.5599	1	0.0443
39	3	23	0.369	-0.1366	0.1366	0.5599	1	0.0443
39	3	24	0.386	-0.1366	0.1366	0.5599	1	0.0443
39	3	25	0.402	-0.1366	0.1366	0.5599	1	0.0443
39	3	26	0.419	-0.1366	0.1366	0.5599	1	0.0443
39	3	27	0.436	-0.1366	0.1366	0.5599	1	0.0443
39	3	28	0.453	-0.1366	0.1366	0.5599	1	0.0443
39	3	29	0.470	-0.1366	0.1366	0.5599	1	0.0443
39	3	30	0.486	-0.1366	0.1366	0.5599	1	0.0443
39	3	31	0.503	-0.1366	0.1366	0.5599	1	0.0443
39	3	32	0.520	-0.1366	0.1366	0.5599	1	0.0443
39	3	33	0.537	-0.1366	0.1366	0.5599	1	0.0443
39	3	34	0.553	-0.1366	0.1366	0.5599	1	0.0443
39	3	35	0.570	-0.1366	0.1366	0.5599	1	0.0443
39	3	36	0.587	-0.1366	0.1366	0.5599	1	0.0443
39	3	37	0.604	-0.1366	0.1366	0.5599	1	0.0443
39	3	38	0.620	-0.1366	0.1366	0.5599	1	0.0443
39	3	39	0.637	-0.1366	0.1366	0.5599	1	0.0443
39	3	40	0.654	-0.1366	0.1366	0.5599	1	0.0443
39	3	41	0.671	-0.1366	0.1366	0.5599	1	0.0443
39	3	42	0.687	-0.1366	0.1366	0.5599	1	0.0443
39	3	43	0.704	-0.1366	0.1366	0.5599	1	0.0443
39	3	44	0.721	-0.1366	0.1366	0.5599	1	0.0443
39	3	45	0.738	-0.1366	0.1366	0.5599	1	0.0443
39	3	46	0.755	-0.1366	0.1366	0.5599	1	0.0443
39	3	47	0.771	-0.1366	0.1366	0.5599	1	0.0443
39	3	48	0.788	-0.1366	0.1366	0.5599	1	0.0443
39	3	49	0.805	-0.1366	0.1366	0.5599	1	0.0443
39	3	50	0.822	-0.1366	0.1366	0.5599	1	0.0443
39	3	51	0.838	-0.1366	0.1366	0.5599	1	0.0443
39	3	52	0.855	-0.1366	0.1366	0.5599	1	0.0443
39	3	53	0.872	-0.1366	0.1366	0.5599	1	0.0443
39	3	54	0.889	-0.1366	0.1366	0.5599	1	0.0443
39	3	55	0.906	-0.1366	0.1366	0.5599	1	0.0443
39	3	56	0.922	-0.1366	0.1366	0.5599	1	0.0443
39	3	57	0.939	-0.1366	0.1366	0.5599	1	0.0443
39	3	58	0.956	-0.1366	0.1366	0.5599	1	0.0443
39	3	59	0.973	-0.1366	0.1366	0.5599	1	0.0443
39	3	60	0.989	-0.1366	0.1366	0.5599	1	0.0443
39	3	61	1.006	-0.1366	0.1366	0.5599	1	0.0443
39	3	62	1.023	-0.1366	0.1366	0.5599	1	0.0443
39	3	63	1.040	-0.1366	0.1366	0.5599	1	0.0443
39	3	64	1.056	-0.1366	0.1366	0.5599	1	0.0443
39	3	65	1.073	-0.1366	0.1366	0.5599	1	0.0443
39	3	66	1.090	-0.1366	0.1366	0.5599	-1	0.0443
39	3	67	1.107	-0.1366	0.1366	0.5599	-1	-1.0000
39	3	68	1.124	-0.0741	0.0741	0.5813	-1	-1.0000
39	3	69	1.140	0.0538	-0.0538	0.6190	-1	-1.0000
39	3	70	1.157	0.2122	-0.2122	0.6519	-1	-1.0000
39	3	71	1.174	0.3794	-0.3794	0.6847	-1	-1.0000
39	3	72	1.191	0.5276	-0.5276	0.7291	-1	-1.0000
39	3	73	1.208	0.6424	-0.6424	0.7586	-1	-1.0000
39	3	74	1.224	0.7122	-0.7122	0.7849	-1	-1.0000
39	3	75	1.241	0.7733	-0.7733	0.8030	-1	-1.0000
39	3	76	1.258	0.8009	-0.8009	0.8259	-1	-1.0000
39	3	77	1.275	0.8459	-0.8459	0.8555	-1	-1.0000
39	3	78	1.292	0.8750	-0.8750	0.8736	-1	-1.0000
39	3	79	1.308	0.9026	-0.9026	0.8900	-1	-1.0000
39	3	80	1.325	0.9157	-0.9157	0.8998	-1	-1.0000
39	3	81	1.342	0.9288	-0.9288	0.9130	-1	-1.0000
39	3	82	1.359	0.9462	-0.9462	0.9261	-1	-1.0000
39	3	83	1.376	0.9680	-0.9680	0.9425	-1	-1.0000
39	3	84	1.392	0.9840	-0.9840	0.9573	-1	-1.0000
39	3	85	1.409	0.9971	-0.9971	0.9672	-1	-1.0000
39	3	86	1.426	0.9985	-0.9985	0.9721	-1	-1.0000
39	3	87	1.443	1.0000	-1.0000	0.9885	-1	-1.0000
39	3	88	1.460	1.0000	-1.0000	0.9918	-1	-1.0000
39	3	89	1.476	1.0000	-1.0000	0.9951	-1	-1.0000
39	3	90	1.493	1.0000	-1.0000	0.9984	-1	-1.0000
39	3	91	1.510	1.0000	-1.0000	1.0000	-1	-1.0000
39	3	92	1.527	1.0000	-1.0000	1.0000	-1	-1.0000
39	3	93	1.543	1.0000	-1.0000	1.0000	-1	-1.0000
39	3	94	1.560	1.0000	-1.0000	1.0000	-1	-1.0000
39	4	1	0.000	-0.0000	0.0000	0.0000	1	0.0000
39	4	2	0.017	-0.0000	0.0000	0.1133	1	0.0000
39	4	3	0.034	-0.0000	0.0000	0.2761	1	0.0000
39	4	4	0.050	-0.0000	0.0000	0.4230	1	0.0374
39	4	5	0.067	-0.0034	0.0034	0.5097	1	0.1155
39	4	6	0.084	-0.0102	0.0102	0.5628	1	0.0032
39	4	7	0.101	-0.0102	0.0102	0.5876	1	0.0030
39	4	8	0.118	-0.0102	0.0102	0.5947	1	0.0030
39	4	9	0.134	-0.0102	0.0102	0.5965	1	0.0030
39	4	10	0.151	-0.0102	0.0102	0.5965	1	0.0030
39	4	11	0.168	-0.0102	0.0102	0.5965	1	0.0030
39	4	12	0.185	-0.0102	0.0102	0.5965	1	0.0030
