Subject	Trial	Instruction	Food	Liking	Taste	Health	Amount	Choice	ChoiceRT	FirstDevTimeChoice	InitAngleChoice	NumChangeMindChoice	FinalDevTimeChoice	MaxVelocityChoice	DrxFirstDevChoice	TotalAUCChoice	AUCtoNonChosenChoice	AUCtoChosenChoice	MaxDevChoice
77.0000	1.0000	Decrease Desire	Butternut	2.0000	6.0000	2.0000	3	-1.0000	1.8466	0.5203	-0.6133	0.0000	0.5203	0.2136	-1.0000	0.4072	0.4278	-0.0206	1.2483
77.0000	2.0000	Decrease Desire	Aero	6.0000	6.0000	2.0000	1	-1.0000	4.4152	0.7389	0.6504	1.0000	3.7769	0.3702	1.0000	1.2350	1.2355	-0.0005	1.8471
77.0000	3.0000	Decrease Desire	Mars	6.0000	6.0000	1.0000	4	-1.0000	1.3943	0.3697	0.8582	1.0000	0.6888	0.2506	1.0000	0.0660	0.0737	-0.0077	0.3797
77.0000	4.0000	Decrease Desire	PopTartStrawberry	6.0000	6.0000	2.0000	5	-1.0000	1.2934	0.3357	0.7061	1.0000	0.5205	0.2454	1.0000	0.0978	0.0978	-0.0000	0.4132
77.0000	5.0000	Decrease Desire	PCChipCookie	6.0000	6.0000	2.0000	5	-1.0000	0.9743	0.3696	0.7778	0.0000	0.3696	0.1804	-1.0000	0.0116	0.0199	-0.0083	0.0531
77.0000	6.0000	Decrease Desire	Triscuit	2.0000	6.0000	2.0000	2	-1.0000	0.9907	0.3191	0.8821	0.0000	0.3191	0.2116	1.0000	-0.0857	0.0000	-0.0857	-0.2495
77.0000	7.0000	Decrease Desire	FrozenOkra	1.0000	5.0000	5.0000	5	1.0000	1.2259	0.5876	-0.4920	0.0000	0.5876	0.2321	1.0000	0.5593	0.5739	-0.0147	1.1217
77.0000	8.0000	Decrease Desire	Mackerel	1.0000	1.0000	1.0000	1	1.0000	1.3270	0.3528	0.9055	1.0000	0.6216	0.3162	-1.0000	0.2462	0.2470	-0.0009	1.1723
77.0000	9.0000	Decrease Desire	PureFit	1.0000	2.0000	2.0000	2	1.0000	1.8134	0.6381	0.7605	2.0000	1.1754	0.2221	1.0000	0.0680	0.0680	-0.0000	0.4476
77.0000	10.0000	Decrease Desire	Broccoli	6.0000	6.0000	6.0000	4	-1.0000	1.4944	0.5036	-0.6533	1.0000	0.8561	0.2717	1.0000	0.6560	0.6804	-0.0244	1.1976
77.0000	11.0000	Respond Naturally	Onion	5.0000	6.0000	6.0000	4	1.0000	2.3680	0.4199	0.8248	3.0000	1.8305	0.3258	-1.0000	0.3109	0.3252	-0.0143	1.5037
77.0000	12.0000	Respond Naturally	Strawberries	6.0000	6.0000	2.0000	2	1.0000	0.9575	0.1008	0.9655	0.0000	0.1008	0.1586	1.0000	0.0075	0.0198	-0.0123	0.0760
77.0000	13.0000	Respond Naturally	Nutella	6.0000	6.0000	5.0000	4	1.0000	0.8397	0.1008	0.6633	0.0000	0.1008	0.1453	1.0000	0.0468	0.0468	-0.0000	0.0752
77.0000	14.0000	Respond Naturally	GreenBeans	2.0000	3.0000	5.0000	4	-1.0000	2.4679	0.3192	-0.6430	1.0000	0.9235	0.2666	1.0000	0.5204	0.5220	-0.0015	1.4322
77.0000	15.0000	Respond Naturally	FrozenPeas	2.0000	3.0000	5.0000	2	-1.0000	0.7391	0.1511	0.6276	0.0000	0.1511	0.1863	-1.0000	0.0775	0.0775	-0.0000	0.1356
77.0000	16.0000	Respond Naturally	IceCreamChocolate	6.0000	6.0000	2.0000	1	1.0000	1.4947	0.1344	-0.4689	1.0000	0.5038	0.2198	-1.0000	0.4600	0.4603	-0.0003	1.1269
77.0000	17.0000	Respond Naturally	Cheetos	6.0000	6.0000	2.0000	6	1.0000	1.0916	0.1174	-0.6053	1.0000	0.3022	0.3011	-1.0000	0.8279	0.8279	-0.0000	1.4026
77.0000	18.0000	Respond Naturally	Tempeh	1.0000	1.0000	2.0000	2	-1.0000	1.2091	0.2854	-0.7153	0.0000	0.2854	0.4031	-1.0000	0.6501	0.6773	-0.0272	1.4105
77.0000	19.0000	Respond Naturally	IceCreamVanilla	6.0000	6.0000	2.0000	4	1.0000	0.7387	0.1008	0.6662	0.0000	0.1008	0.2614	1.0000	0.0192	0.0192	-0.0000	0.0868
77.0000	20.0000	Respond Naturally	Doritos	6.0000	6.0000	1.0000	5	1.0000	0.5541	0.1008	0.8353	0.0000	0.1008	0.3255	-1.0000	-0.0391	0.0000	-0.0391	-0.0831
77.0000	21.0000	Respond Naturally	GreenPepper	1.0000	3.0000	6.0000	2	-1.0000	1.1756	0.5038	-0.5917	0.0000	0.5038	0.3956	-1.0000	0.6686	0.6686	-0.0000	1.2511
77.0000	22.0000	Respond Naturally	RufflesSourCreamOnion	6.0000	5.0000	2.0000	5	1.0000	0.8229	0.1848	0.7761	0.0000	0.1848	0.1972	1.0000	0.0077	0.0105	-0.0027	0.0444
77.0000	23.0000	Respond Naturally	LaysClassic	6.0000	6.0000	2.0000	3	1.0000	0.4871	0.1680	1.0823	0.0000	0.1680	0.1936	1.0000	-0.0630	0.0000	-0.0630	-0.1644
77.0000	24.0000	Respond Naturally	Cheerios	6.0000	6.0000	6.0000	2	1.0000	0.5711	0.2688	0.8069	0.0000	0.2688	0.2070	1.0000	-0.0059	0.0028	-0.0087	-0.0512
77.0000	25.0000	Respond Naturally	Onion	5.0000	6.0000	1.0000	2	1.0000	1.1082	0.1510	0.8992	2.0000	0.8731	0.2681	1.0000	0.0015	0.0286	-0.0271	0.2144
77.0000	26.0000	Respond Naturally	Mentos	6.0000	6.0000	1.0000	5	1.0000	0.5710	0.1511	0.7721	0.0000	0.1511	0.2280	1.0000	-0.0148	0.0009	-0.0157	-0.0510
77.0000	27.0000	Respond Naturally	MangoChunks	6.0000	6.0000	5.0000	5	1.0000	0.6887	0.2016	0.6362	0.0000	0.2016	0.1278	1.0000	0.0619	0.0622	-0.0003	0.1500
77.0000	28.0000	Respond Naturally	MangoChunks	6.0000	6.0000	5.0000	2	1.0000	0.6887	0.4872	0.8334	0.0000	0.4872	0.3668	-1.0000	-0.0001	0.0130	-0.0130	-0.0711
