"","correct","earnings","trial","face_val","house_val","house_mult","face_mult","summed_val","image_list","key_entry_list","rt_list","participant","rt","total_fix_face_0","total_fix_house_1","first_image","last_image","final_earnings","abs_diff","fix_num","face_val_total","house_val_total","first_val","second_val","first_mult","second_mult","1_fixation","2_fixation","3_fixation","4_fixation","5_fixation","6_fixation","7_fixation","8_fixation","9_fixation","10_fixation","11_fixation","12_fixation","13_fixation","14_fixation","15_fixation","mean_fix","choice","summedVal","subject","absSummedVal","swapAmount","firstMult","firstVal","secondMult","secondVal","faceTotal","houseTotal","total_0_face","total_1_house"
"22",1,13,22,-0.75,1,2,1,1.25,"[0, 1]","['space', 'f']","[2.8169339857086015, 5.366797699183735]",103,5.36679769918373,2.8169339857086,2.54986371347513,1,0,186.5,1.75,2,-0.75,2,2,-0.75,2,1,2.8169339857086,2.54986371347513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1.25,103,1.25,2,2,2,1,-0.75,-0.75,2,2.8169339857086,2.54986371347513
"23",1,14,23,0.25,0.75,1,1,1,"[0, 1, 0]","['space', 'space', 'f']","[6.116805396917698, 8.633693122919794, 10.600139438931365]",103,10.6001394389314,8.08325171292927,2.5168877260021,0,0,186.5,0.5,3,0.25,0.75,0.25,0.75,1,1,6.1168053969177,2.5168877260021,1.96644631601157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1,103,1,3,1,0.25,1,0.75,0.25,0.75,8.08325171292927,2.5168877260021
"26",1,14.75,26,0.5,0.25,3,1,1.25,"[0, 1]","['space', 'f']","[4.016919250050705, 7.900302997422841]",103,7.90030299742284,4.01691925005071,3.88338374737214,1,0,186.5,0.25,2,0.5,0.75,0.75,0.5,3,1,4.01691925005071,3.88338374737214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1.25,103,1.25,2,3,0.75,1,0.5,0.5,0.75,4.01691925005071,3.88338374737214
"27",1,14.75,27,-1,-0.75,1,2,-2.75,"[1, 0]","['space', 'j']","[4.900611639852286, 6.550300651448197]",103,6.5503006514482,1.64968901159591,4.90061163985229,0,1,186.5,0.25,2,-2,-0.75,-2,-0.75,2,1,4.90061163985229,1.64968901159591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-2.75,103,2.75,2,2,-2,1,-0.75,-2,-0.75,1.64968901159591,4.90061163985229
"28",1,17.25,28,1,-0.25,2,3,2.5,"[1, 0]","['space', 'f']","[5.833628168717041, 9.683471428214034]",103,9.68347142821403,3.84984325949699,5.83362816871704,0,1,186.5,1.25,2,3,-0.5,3,-0.5,3,2,5.83362816871704,3.84984325949699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,2.5,103,2.5,2,3,3,2,-0.5,3,-0.5,3.84984325949699,5.83362816871704
"29",1,18,29,1,-0.25,1,1,0.75,"[1, 0]","['space', 'f']","[2.400113120016613, 5.233577070433967]",103,5.23357707043397,2.83346395041735,2.40011312001661,0,1,186.5,1.25,2,1,-0.25,1,-0.25,1,1,2.40011312001661,2.83346395041735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0.75,103,0.75,2,1,1,1,-0.25,1,-0.25,2.83346395041735,2.40011312001661
"30",1,18,30,0,-0.25,2,3,-0.5,"[0, 1]","['space', 'j']","[1.70011722547315, 6.300291487479626]",103,6.30029148747963,1.70011722547315,4.60017426200648,1,0,186.5,0.25,2,0,-0.5,-0.5,0,2,3,1.70011722547315,4.60017426200648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.5,103,0.5,2,2,-0.5,3,0,0,-0.5,1.70011722547315,4.60017426200648
"32",1,19.5,32,-0.5,-1,1,1,-1.5,"[0, 1]","['space', 'j']","[7.816980905225137, 10.250164584858794]",103,10.2501645848588,7.81698090522514,2.43318367963366,1,0,186.5,0.5,2,-0.5,-1,-1,-0.5,1,1,7.81698090522514,2.43318367963366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-1.5,103,1.5,2,1,-1,1,-0.5,-0.5,-1,7.81698090522514,2.43318367963366
"34",1,20.25,34,0,0.75,1,1,0.75,"[0, 1]","['space', 'f']","[0.8501049824135407, 2.5501173720967927]",103,2.55011737209679,0.850104982413541,1.70001238968325,1,0,186.5,0.75,2,0,0.75,0.75,0,1,1,0.850104982413541,1.70001238968325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0.75,103,0.75,2,1,0.75,1,0,0,0.75,0.850104982413541,1.70001238968325
"35",1,21.25,35,0,1,1,1,1,"[1, 0, 1, 0]","['space', 'space', 'space', 'f']","[0.01693061336845858, 0.7837215678737266, 1.7336104272744706, 2.9003095954794844]",103,2.90030959547948,1.93349012271028,0.966819472769203,0,1,186.5,1,4,0,1,0,1,1,1,0.0169306133684586,0.766790954505268,0.949888859400744,1.16669916820501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1,103,1,4,1,0,1,1,0,1,1.93349012271028,0.966819472769203
"36",1,23.75,36,0.75,0.5,2,2,2.5,"[0, 1]","['space', 'f']","[3.8838302158746956, 5.233635719827362]",103,5.23363571982736,3.8838302158747,1.34980550395267,1,0,186.5,0.25,2,1.5,1,1,1.5,2,2,3.8838302158747,1.34980550395267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,2.5,103,2.5,2,2,1,2,1.5,1.5,1,3.8838302158747,1.34980550395267
"37",1,26.75,37,0.5,1,2,2,3,"[0, 1]","['space', 'f']","[6.350120011318722, 7.650152708356472]",103,7.65015270835647,6.35012001131872,1.30003269703775,1,0,186.5,0.5,2,1,2,2,1,2,2,6.35012001131872,1.30003269703775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,3,103,3,2,2,2,2,1,1,2,6.35012001131872,1.30003269703775
"39",1,28,39,0.5,-0.25,1,3,1.25,"[0, 1]","['space', 'f']","[10.83348301147089, 13.450331662314056]",103,13.4503316623141,10.8334830114709,2.61684865084317,1,0,186.5,0.75,2,1.5,-0.25,-0.25,1.5,1,3,10.8334830114709,2.61684865084317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1.25,103,1.25,2,1,-0.25,3,1.5,1.5,-0.25,10.8334830114709,2.61684865084317
"40",1,28,40,-0.25,-1,2,3,-2.75,"[0, 1]","['space', 'j']","[3.883595618304753, 5.300279757602766]",103,5.30027975760277,3.88359561830475,1.41668413929801,1,0,186.5,0.75,2,-0.75,-2,-2,-0.75,2,3,3.88359561830475,1.41668413929801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-2.75,103,2.75,2,2,-2,3,-0.75,-0.75,-2,3.88359561830475,1.41668413929801
"41",1,28,41,-1,0.25,2,1,-0.5,"[1, 0]","['space', 'j']","[5.6169549528676725, 8.58363073462715]",103,8.58363073462715,2.96667578175948,5.61695495286767,0,1,186.5,1.25,2,-1,0.5,-1,0.5,1,2,5.61695495286767,2.96667578175948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.5,103,0.5,2,1,-1,2,0.5,-1,0.5,2.96667578175948,5.61695495286767
"42",1,28,42,-0.5,-1,2,1,-2.5,"[0, 1]","['space', 'j']","[3.4669235754427064, 4.833645763535969]",103,4.83364576353597,3.46692357544271,1.36672218809326,1,0,186.5,0.5,2,-0.5,-2,-2,-0.5,2,1,3.46692357544271,1.36672218809326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-2.5,103,2.5,2,2,-2,1,-0.5,-0.5,-2,3.46692357544271,1.36672218809326
"43",1,29.5,43,1,-0.25,2,2,1.5,"[0, 1, 0, 1]","['space', 'space', 'space', 'f']","[0.8002716933115153, 1.51692328219724, 3.716788681840626, 5.550175288371975]",103,5.55017528837197,3.0001370929549,2.55003819541707,1,0,186.5,1.25,4,2,-0.5,-0.5,2,2,2,0.800271693311515,0.716651588885725,2.19986539964339,1.83338660653135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1.5,103,1.5,4,2,-0.5,2,2,2,-0.5,3.0001370929549,2.55003819541707
"44",1,29.5,44,-0.75,0,2,2,-1.5,"[0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'j']","[0.9336627718585078, 1.9169806852896727, 2.516972401062958, 3.8836381391138275, 5.750171182915437]",103,5.75017118291544,3.4001875314334,2.34998365148203,0,0,186.5,0.75,5,-1.5,0,-1.5,0,2,2,0.933662771858508,0.983317913431165,0.599991715773285,1.36666573805087,1.86653304380161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-1.5,103,1.5,5,2,-1.5,2,0,-1.5,0,3.4001875314334,2.34998365148203
"45",1,30,45,0.25,-0.25,1,3,0.5,"[0, 1, 0, 1, 0]","['space', 'space', 'space', 'space', 'f']","[0.7501048357880791, 1.8169380178551364, 4.06679799243102, 5.250117665342259, 6.000102269877971]",103,6.00010226987797,3.74994941489967,2.2501528549783,0,0,186.5,0.5,5,0.75,-0.25,0.75,-0.25,3,1,0.750104835788079,1.06683318206706,2.24985997457588,1.18331967291124,0.749984604535712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0.5,103,0.5,5,3,0.75,1,-0.25,0.75,-0.25,3.74994941489967,2.2501528549783
"46",1,30,46,-1,-0.5,1,1,-1.5,"[0, 1, 0]","['space', 'space', 'j']","[0.6001082814418623, 1.4001105541046854, 2.2335939321346814]",103,2.23359393213468,1.43359165947186,0.800002272662823,0,0,186.5,0.5,3,-1,-0.5,-1,-0.5,1,1,0.600108281441862,0.800002272662823,0.833483378029996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-1.5,103,1.5,3,1,-1,1,-0.5,-1,-0.5,1.43359165947186,0.800002272662823
"47",1,30,47,-1,0.75,1,1,-0.25,"[0, 1, 0, 1]","['space', 'space', 'space', 'j']","[0.7501480897171859, 1.3839302863998455, 4.550173822137367, 5.917010009985461]",103,5.91701000998546,3.91639162545471,2.00061838453075,1,0,186.5,1.75,4,-1,0.75,0.75,-1,1,1,0.750148089717186,0.63378219668266,3.16624353573752,1.36683618784809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.25,103,0.25,4,1,0.75,1,-1,-1,0.75,3.91639162545471,2.00061838453075
"48",1,32,48,0.75,-0.25,1,3,2,"[0, 1, 0]","['space', 'space', 'f']","[0.40025424511622987, 1.3503014578764123, 3.850315387107912]",103,3.85031538710791,2.90026817434773,0.950047212760182,0,0,186.5,1,3,2.25,-0.25,2.25,-0.25,3,1,0.40025424511623,0.950047212760182,2.5000139292315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,2,103,2,3,3,2.25,1,-0.25,2.25,-0.25,2.90026817434773,0.950047212760182
"49",1,32,49,-1,0,1,1,-1,"[1, 0, 1, 0]","['space', 'space', 'space', 'j']","[1.050283789747482, 2.2667667616296967, 3.3334192302554584, 4.2167960130136635]",103,4.21679601301366,2.09985975464042,2.11693625837324,0,1,186.5,1,4,-1,0,-1,0,1,1,1.05028378974748,1.21648297188221,1.06665246862576,0.883376782758205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-1,103,1,4,1,-1,1,0,-1,0,2.09985975464042,2.11693625837324
"50",1,32,50,0,-0.25,1,1,-0.25,"[1, 0, 1]","['space', 'space', 'j']","[0.5336068350006826, 1.5335987707094318, 2.8836025829205028]",103,2.8836025829205,0.999991935708749,1.88361064721175,1,1,186.5,0.25,3,0,-0.25,-0.25,0,1,1,0.533606835000683,0.999991935708749,1.35000381221107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.25,103,0.25,3,1,-0.25,1,0,0,-0.25,0.999991935708749,1.88361064721175
"51",1,32.75,51,0.25,0.25,1,2,0.75,"[0, 1, 0]","['space', 'space', 'f']","[0.600291927350554, 2.216780617547556, 3.8502809305882693]",103,3.85028093058827,2.23379224039127,1.616488690197,0,0,186.5,0,3,0.5,0.25,0.5,0.25,2,1,0.600291927350554,1.616488690197,1.63350031304071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0.75,103,0.75,3,2,0.5,1,0.25,0.5,0.25,2.23379224039127,1.616488690197
"52",1,33.75,52,0.5,-0.5,1,3,1,"[0, 1, 0, 1]","['space', 'space', 'space', 'f']","[1.5669468152664194, 2.733604928895147, 7.58347824620796, 9.366832888819772]",103,9.36683288881977,6.41682013257923,2.95001275624054,1,0,186.5,1,4,1.5,-0.5,-0.5,1.5,1,3,1.56694681526642,1.16665811362873,4.84987331731281,1.78335464261181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1,103,1,4,1,-0.5,3,1.5,1.5,-0.5,6.41682013257923,2.95001275624054
"53",1,33.75,53,0.5,-0.75,1,1,-0.25,"[1, 0]","['space', 'j']","[2.400289434752267, 4.866857081695343]",103,4.86685708169534,2.46656764694308,2.40028943475227,0,1,186.5,1.25,2,0.5,-0.75,0.5,-0.75,1,1,2.40028943475227,2.46656764694308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-0.25,103,0.25,2,1,0.5,1,-0.75,0.5,-0.75,2.46656764694308,2.40028943475227
"54",1,33.75,54,0.5,-1,2,1,-1.5,"[1, 0, 1]","['space', 'space', 'j']","[1.2668943240587396, 2.7500729451821826, 3.6002933935851615]",103,3.60029339358516,1.48317862112344,2.11711477246172,1,1,186.5,1.5,3,0.5,-2,-2,0.5,2,1,1.26689432405874,1.48317862112344,0.850220448402979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-1.5,103,1.5,3,2,-2,1,0.5,0.5,-2,1.48317862112344,2.11711477246172
"55",1,35.25,55,0.5,1,1,1,1.5,"[0, 1]","['space', 'f']","[2.0167887551506283, 3.633481618546284]",103,3.63348161854628,2.01678875515063,1.61669286339566,1,0,186.5,0.5,2,0.5,1,1,0.5,1,1,2.01678875515063,1.61669286339566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1.5,103,1.5,2,1,1,1,0.5,0.5,1,2.01678875515063,1.61669286339566
"56",1,35.75,56,0,0.5,1,1,0.5,"[0, 1]","['space', 'f']","[0.4669287072647421, 1.9001193515123305]",103,1.90011935151233,0.466928707264742,1.43319064424759,1,0,186.5,0.5,2,0,0.5,0.5,0,1,1,0.466928707264742,1.43319064424759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,0.5,103,0.5,2,1,0.5,1,0,0,0.5,0.466928707264742,1.43319064424759
"57",1,37.75,57,0.75,0.25,2,2,2,"[0, 1]","['space', 'f']","[0.5840914989166777, 1.9836371860601503]",103,1.98363718606015,0.584091498916678,1.39954568714347,1,0,186.5,0.5,2,1.5,0.5,0.5,1.5,2,2,0.584091498916678,1.39954568714347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,2,103,2,2,2,0.5,2,1.5,1.5,0.5,0.584091498916678,1.39954568714347
"58",1,37.75,58,-0.75,0,1,2,-1.5,"[0, 1, 0]","['space', 'space', 'j']","[0.4502671479822311, 1.7335514113237878, 2.3502010207921558]",103,2.35020102079216,1.0669167574506,1.28328426334156,0,0,186.5,0.75,3,-1.5,0,-1.5,0,2,1,0.450267147982231,1.28328426334156,0.616649609468368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,0,-1.5,103,1.5,3,2,-1.5,1,0,-1.5,0,1.0669167574506,1.28328426334156
"59",1,40.75,59,0.75,0.75,2,2,3,"[0, 1]","['space', 'f']","[0.6668007049647713, 3.200288774945875]",103,3.20028877494588,0.666800704964771,2.5334880699811,1,0,186.5,0,2,1.5,1.5,1.5,1.5,2,2,0.666800704964771,2.5334880699811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,3,103,3,2,2,1.5,2,1.5,1.5,1.5,0.666800704964771,2.5334880699811
"61",1,45.5,61,0.25,0.5,2,1,1.25,"[1, 0, 1, 0]","['space', 'space', 'space', 'f']","[1.9172266461773688, 2.616919396672529, 3.7003558551878086, 4.716934572203172]",103,4.71693457220317,1.71627146751052,3.00066310469265,0,1,186.5,0.25,4,0.25,1,0.25,1,1,2,1.91722664617737,0.69969275049516,1.08343645851528,1.01657871701536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80350877192982,1,1.25,103,1.25,4,1,0.25,2,1,0.25,1,1.71627146751052,3.00066310469265
