parcode,trial,rt,choice,item_left,item_right
0,0,3530,-1,0,0
0,1,1100,-1,0,0
0,2,2370,-1,0,0
0,3,430,1,0,0
0,4,1960,-1,0,0
0,5,1320,-1,0,0
0,6,1760,-1,0,0
0,7,5420,1,0,0
0,8,7750,1,0,0
0,9,1760,1,0,0
0,10,960,-1,0,0
0,11,1450,-1,0,0
0,12,840,1,0,0
0,13,3880,-1,0,0
0,14,940,-1,0,0
0,15,2200,1,0,0
0,16,2380,1,0,0
0,17,3700,1,0,0
0,18,5880,-1,0,0
0,19,2210,1,0,0
0,20,1540,-1,0,0
0,21,3290,1,0,0
0,22,1890,-1,0,0
0,23,8730,1,0,0
0,24,1570,-1,0,0
0,25,1940,1,0,0
0,26,6910,1,0,0
0,27,1580,-1,0,0
0,28,10210,-1,0,0
0,29,2350,-1,0,0
0,30,1280,-1,0,0
0,31,670,1,0,0
0,32,5840,-1,0,0
0,33,2230,1,0,0
0,34,1160,-1,0,0
0,35,2650,-1,0,0
0,36,4320,-1,0,0
0,37,2880,1,0,0
0,38,2920,1,0,0
0,39,780,-1,0,0
0,40,3660,-1,0,0
0,41,2040,1,0,0
0,42,1010,1,0,0
0,43,2460,-1,0,0
0,44,1820,1,0,0
0,45,760,-1,0,0
0,46,5310,-1,0,0
0,47,420,-1,0,0
0,48,3240,-1,0,0
0,49,1340,1,0,0
0,50,770,1,0,0
0,51,3080,-1,0,0
0,52,560,-1,0,0
0,53,2290,-1,0,0
0,54,3580,1,0,0
0,55,3910,1,0,0
0,56,1830,-1,0,0
0,57,1900,1,0,0
0,58,1310,-1,0,0
0,59,890,1,0,0
0,60,1320,1,0,0
0,61,2430,1,0,0
0,62,3530,1,0,0
0,63,3400,-1,0,0
0,64,530,1,0,0
0,65,1450,1,0,0
0,66,750,-1,0,0
0,67,4020,1,0,0
0,68,3240,1,0,0
0,69,2860,1,0,0
0,70,3690,-1,0,0
0,71,7450,-1,0,0
0,72,4680,-1,0,0
0,73,1310,-1,0,0
0,74,1560,-1,0,0
0,75,2800,1,0,0
0,76,460,1,0,0
0,77,1480,1,0,0
0,78,1040,1,0,0
0,79,3060,1,0,0
0,80,1070,-1,0,0
0,81,1590,1,0,0
0,82,1040,1,0,0
0,83,1300,-1,0,0
0,84,3920,-1,0,0
0,85,1100,-1,0,0
0,86,1250,1,0,0
0,87,1470,1,0,0
0,88,640,-1,0,0
0,89,3880,1,0,0
0,90,800,-1,0,0
0,91,1260,1,0,0
0,92,9300,-1,0,0
0,93,4090,-1,0,0
0,94,1460,1,0,0
0,95,1730,-1,0,0
0,96,900,1,0,0
0,97,470,-1,0,0
0,98,2510,-1,0,0
0,99,4130,-1,0,0
0,100,600,1,0,1
0,101,630,-1,0,1
0,102,1450,1,0,1
0,103,1770,-1,0,1
0,104,3570,1,0,1
0,105,910,1,0,1
0,106,6410,1,0,1
0,107,920,1,0,1
0,108,4100,-1,0,1
0,109,2870,1,0,1
0,110,890,-1,0,1
0,111,890,1,0,1
0,112,2890,-1,0,1
0,113,2710,1,0,1
0,114,2660,1,0,1
0,115,3010,1,0,1
0,116,3740,-1,0,1
0,117,1400,-1,0,1
0,118,500,-1,0,1
0,119,3350,1,0,1
0,120,3220,1,0,1
0,121,6710,1,0,1
0,122,7720,-1,0,1
0,123,3680,1,0,1
0,124,1840,1,0,1
0,125,700,-1,0,1
0,126,1140,1,0,1
0,127,1140,1,0,1
0,128,8960,1,0,1
0,129,1000,1,0,1
0,130,2260,1,0,1
0,131,1010,-1,0,1
0,132,930,1,0,1
0,133,1960,-1,0,1
0,134,1540,1,0,1
0,135,1130,-1,0,1
0,136,910,-1,0,1
0,137,3360,1,0,1
0,138,940,1,0,1
0,139,740,1,0,1
0,140,700,1,0,1
0,141,2340,1,0,1
0,142,2050,1,0,1
0,143,3440,1,0,1
0,144,3840,1,0,1
0,145,860,-1,0,1
0,146,1780,1,0,1
0,147,1070,1,0,1
0,148,690,1,0,1
0,149,1860,-1,0,1
0,150,830,1,0,1
0,151,1130,1,0,1
0,152,880,-1,0,1
0,153,3720,-1,0,1
0,154,2120,1,0,1
0,155,1760,1,0,1
0,156,4670,-1,0,1
0,157,3990,-1,0,1
0,158,1170,1,0,1
0,159,2400,1,0,1
0,160,860,1,0,1
0,161,13770,1,0,1
0,162,5310,1,0,1
0,163,5610,1,0,1
0,164,2310,1,0,1
0,165,1540,1,0,1
0,166,4170,-1,0,1
0,167,1800,1,0,1
0,168,1200,-1,0,1
0,169,5670,1,0,1
0,170,9180,1,0,1
0,171,1030,1,0,1
0,172,830,1,0,1
0,173,1120,-1,0,1
0,174,630,-1,0,1
0,175,900,1,0,1
0,176,980,-1,0,1
0,177,2290,1,0,1
0,178,2750,-1,0,1
0,179,2970,-1,0,1
0,180,3150,1,0,1
0,181,430,1,0,1
0,182,920,1,0,1
0,183,530,-1,0,1
0,184,2490,1,0,1
0,185,12910,1,0,1
0,186,2030,1,0,1
0,187,1090,-1,0,1
0,188,370,-1,0,1
0,189,2070,1,0,1
0,190,940,1,0,1
