parcode,trial,fix_item,fix_time
0,0,0,220
0,0,1,330
0,0,0,80
0,0,2,220
0,0,0,80
0,0,1,480
0,0,0,80
0,0,2,730
0,0,0,70
0,0,1,390
0,0,0,60
0,0,2,370
0,0,0,350
0,0,1,70
0,1,0,270
0,1,2,380
0,1,0,50
0,1,1,300
0,1,0,100
0,2,0,180
0,2,2,220
0,2,0,110
0,2,1,380
0,2,0,80
0,2,2,560
0,2,0,60
0,2,1,780
0,3,0,220
0,3,2,210
0,4,0,220
0,4,1,190
0,4,0,90
0,4,2,440
0,4,0,70
0,4,1,950
0,5,0,250
0,5,2,130
0,5,0,60
0,5,1,430
0,5,0,80
0,5,2,370
0,6,0,230
0,6,1,250
0,6,0,90
0,6,2,380
0,6,0,90
0,6,1,440
0,6,0,70
0,6,2,210
0,7,0,250
0,7,2,160
0,7,0,70
0,7,1,1440
0,7,0,80
0,7,2,540
0,7,0,80
0,7,1,650
0,7,0,90
0,7,2,360
0,7,0,60
0,7,1,940
0,7,0,60
0,7,2,640
0,8,0,220
0,8,1,1340
0,8,0,70
0,8,2,570
0,8,0,80
0,8,1,220
0,8,0,70
0,8,2,2300
0,8,0,70
0,8,1,830
0,8,0,80
0,8,2,720
0,8,0,70
0,8,1,170
0,8,0,70
0,8,2,870
0,9,0,200
0,9,1,360
0,9,0,70
0,9,2,390
0,9,0,220
0,9,1,520
0,10,0,280
0,10,1,230
0,10,0,140
0,10,2,310
0,11,0,190
0,11,2,150
0,11,0,60
0,11,1,420
0,11,0,60
0,11,2,570
0,12,0,620
0,12,1,210
0,12,0,10
0,13,0,220
0,13,1,220
0,13,0,80
0,13,2,510
0,13,0,80
0,13,1,540
0,13,0,70
0,13,2,2160
0,14,0,320
0,14,1,250
0,14,0,70
0,14,2,300
0,15,0,270
0,15,1,150
0,15,0,60
0,15,2,1460
0,15,0,80
0,15,1,180
0,16,0,210
0,16,1,270
0,16,0,80
0,16,2,450
0,16,0,90
0,16,1,840
0,16,0,90
0,16,2,290
0,16,0,60
0,17,0,200
0,17,1,410
0,17,0,80
0,17,2,350
0,17,0,60
0,17,1,480
0,17,0,60
0,17,2,460
0,17,0,60
0,17,1,200
0,17,0,50
0,17,2,1290
0,18,0,200
0,18,1,220
0,18,0,80
0,18,2,790
0,18,0,70
0,18,1,530
0,18,0,70
0,18,2,210
0,18,0,70
0,18,1,700
0,18,0,70
0,18,2,450
0,18,0,60
0,18,1,190
0,18,0,80
0,18,2,690
0,18,0,80
0,18,1,930
0,18,0,80
0,18,2,310
0,19,0,380
0,19,1,210
0,19,0,70
0,19,2,530
0,19,0,70
0,19,1,950
0,20,0,280
0,20,1,300
0,20,0,90
0,20,2,250
0,20,0,70
0,20,1,550
0,21,0,440
0,21,1,240
0,21,0,70
0,21,2,590
0,21,0,110
0,21,1,830
0,21,0,90
0,21,2,920
0,22,0,160
0,22,1,240
0,22,0,70
0,22,2,430
0,22,0,70
0,22,1,830
0,22,0,90
0,23,0,220
0,23,1,160
0,23,0,70
0,23,2,1620
0,23,0,80
0,23,1,860
0,23,0,60
0,23,2,580
0,23,0,210
0,23,1,460
0,23,0,90
0,23,2,1440
0,23,0,70
0,23,1,570
0,23,0,70
0,23,2,2150
0,23,0,20
0,24,0,410
0,24,1,300
0,24,0,90
0,24,2,380
0,24,0,70
0,24,1,320
0,25,0,200
0,25,1,230
0,25,0,70
0,25,2,360
0,25,0,90
0,25,1,990
0,26,0,190
0,26,2,240
0,26,0,60
0,26,1,530
0,26,0,80
0,26,2,850
0,26,0,80
0,26,1,450
0,26,0,60
0,26,2,710
0,26,0,80
0,26,1,910
