Subject	Trial	TimePt	Time	ChoiceX	ChoiceSignedX	ChoiceY	Drx	Trajectory
23	1	1	0.000	-0.0000	0.0000	0.0000	-1	-0.9169
23	1	2	0.017	0.0324	-0.0324	0.0370	-1	-0.9789
23	1	3	0.034	0.0840	-0.0840	0.0900	-1	-1.0000
23	1	4	0.051	0.1489	-0.1489	0.1431	-1	-1.0000
23	1	5	0.067	0.2271	-0.2271	0.2010	-1	-1.0000
23	1	6	0.084	0.3187	-0.3187	0.2733	-1	-1.0000
23	1	7	0.101	0.4084	-0.4084	0.3569	-1	-1.0000
23	1	8	0.118	0.4962	-0.4962	0.4341	-1	-1.0000
23	1	9	0.135	0.5668	-0.5668	0.4968	-1	-1.0000
23	1	10	0.151	0.6851	-0.6851	0.6109	-1	-1.0000
23	1	11	0.168	0.7500	-0.7500	0.6736	-1	-1.0000
23	1	12	0.185	0.7996	-0.7996	0.7219	-1	-1.0000
23	1	13	0.202	0.8340	-0.8340	0.7621	-1	-1.0000
23	1	14	0.219	0.8645	-0.8645	0.8006	-1	-1.0000
23	1	15	0.235	0.8874	-0.8874	0.8360	-1	-1.0000
23	1	16	0.252	0.9122	-0.9122	0.8714	-1	-1.0000
23	1	17	0.269	0.9237	-0.9237	0.8939	-1	-1.0000
23	1	18	0.286	0.9313	-0.9313	0.9196	-1	-1.0000
23	1	19	0.303	0.9389	-0.9389	0.9357	-1	-1.0000
23	1	20	0.319	0.9408	-0.9408	0.9486	-1	-1.0000
23	1	21	0.336	0.9408	-0.9408	0.9534	-1	-1.0000
23	1	22	0.353	0.9408	-0.9408	0.9534	-1	-1.0000
23	1	23	0.370	0.9408	-0.9408	0.9550	-1	-1.0000
23	1	24	0.387	0.9408	-0.9408	0.9566	-1	-1.0000
23	1	25	0.403	0.9408	-0.9408	0.9566	-1	-1.0000
23	1	26	0.420	0.9408	-0.9408	0.9566	-1	-1.0000
23	1	27	0.437	0.9408	-0.9408	0.9566	-1	-1.0000
23	1	28	0.454	0.9408	-0.9408	0.9566	-1	-1.0000
23	1	29	0.471	0.9408	-0.9408	0.9566	-1	-1.0000
23	1	30	0.487	0.9408	-0.9408	0.9566	-1	-1.0000
23	1	31	0.504	0.9408	-0.9408	0.9566	-1	-1.0000
23	1	32	0.521	0.9408	-0.9408	0.9582	-1	-1.0000
23	1	33	0.538	0.9389	-0.9389	0.9582	-1	-1.0000
23	1	34	0.554	0.9389	-0.9389	0.9582	-1	-1.0000
23	1	35	0.571	0.9389	-0.9389	0.9582	-1	-1.0000
23	1	36	0.588	0.9389	-0.9389	0.9582	-1	-1.0000
23	1	37	0.605	0.9389	-0.9389	0.9582	-1	-1.0000
23	1	38	0.622	0.9370	-0.9370	0.9582	-1	-1.0000
23	1	39	0.638	0.9370	-0.9370	0.9598	-1	-1.0000
