date, psychopy_version, exp_version, unattractive_face_version, attractive_face_version, subject, block, trial, image, actual_val, input_val, rt, error, total_error, accuracy, min_accuracy
2019_Jul_03_1320,3.0.2,3.3.0,0,1,999,1,0,face_m_u_1_001.jpg,-0.98,-0.80,3.580,0.18,0.18,82.00,1.00
2019_Jul_03_1320,3.0.2,3.3.0,0,1,999,1,1,face_m_a_3_033.jpg,0.34,0.40,3.321,0.06,0.24,88.00,1.00
2019_Jul_03_1320,3.0.2,3.3.0,0,1,999,1,2,face_m_u_1_019.jpg,-0.62,-0.60,3.128,0.02,0.26,91.33,1.00
