parcode,trial,rt,choice,item_left,item_right
0,0,3530,1,-1,-1
0,1,1970,1,-1,-1
0,2,1710,1,-1,-1
0,3,460,1,-1,-1
0,4,1000,1,-1,-1
0,5,1430,1,-1,-1
0,6,6860,1,-1,-1
0,7,1390,1,-1,-1
0,8,2240,-1,-1,-1
0,9,1240,1,-1,-1
0,10,2760,1,-1,-1
0,11,5510,-1,-1,-1
0,12,4110,1,-1,-1
0,13,930,1,-1,-1
0,14,2910,1,-1,-1
0,15,6320,1,-1,-1
0,16,5770,-1,-1,-1
0,17,2110,1,-1,-1
0,18,7820,-1,-1,-1
0,19,1780,1,-1,-1
0,20,4970,-1,-1,-1
0,21,4130,1,-1,-1
0,22,4100,1,-1,-1
0,23,3390,-1,-1,-1
0,24,6010,1,-1,-1
0,25,5810,1,-1,-1
0,26,5350,-1,-1,-1
0,27,430,-1,-1,-1
0,28,1920,1,-1,-1
0,29,4110,-1,-1,-1
0,30,2800,1,-1,-1
0,31,7350,-1,-1,-1
0,32,2630,-1,-1,-1
0,33,2360,1,-1,-1
0,34,2280,1,-1,-1
0,35,2100,1,-1,-1
0,36,770,1,-1,-1
0,37,4030,1,-1,-1
0,38,5970,1,-1,-1
0,39,1010,1,-1,-1
0,40,690,1,-1,-1
0,41,2440,1,-1,-1
0,42,5920,-1,-1,-1
0,43,2860,-1,-1,-1
0,44,3470,1,-1,-1
0,45,950,1,-1,-1
0,46,3000,1,-1,-1
0,47,3010,1,-1,-1
0,48,1660,1,-1,-1
0,49,1000,1,-1,-1
0,50,520,-1,-1,-1
0,51,8570,-1,-1,-1
0,52,2100,-1,-1,-1
0,53,1920,1,-1,-1
0,54,7740,1,-1,-1
0,55,3220,1,-1,-1
0,56,2270,1,-1,-1
0,57,4200,-1,-1,-1
0,58,1310,1,-1,-1
0,59,1300,-1,-1,-1
0,60,3700,-1,-1,-1
0,61,5560,1,-1,-1
0,62,4770,-1,-1,-1
0,63,630,1,-1,-1
0,64,3220,1,-1,-1
0,65,1110,-1,-1,-1
0,66,1110,1,-1,-1
0,67,2060,-1,-1,-1
0,68,4900,1,-1,-1
0,69,1140,1,-1,-1
0,70,7330,-1,-1,-1
0,71,4800,1,-1,-1
0,72,1070,1,-1,-1
0,73,840,1,-1,-1
0,74,5200,-1,-1,-1
0,75,720,1,-1,-1
0,76,1060,-1,-1,-1
0,77,3360,-1,-1,-1
0,78,3780,1,-1,-1
0,79,3040,1,-1,-1
0,80,2920,1,-1,-1
0,81,5100,1,-1,-1
0,82,10980,-1,-1,-1
0,83,6390,1,-1,-1
