date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, payout
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,105,2.600,1,1,0.27,faceMorph004.jpg,0.92,0.33,0.30,houseMorph068.jpg,-0.36,0.10,-0.04,3,1.018,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,105,2.600,1,1,0.27,faceMorph004.jpg,0.92,0.33,0.30,houseMorph068.jpg,-0.36,0.10,-0.04,4,0.067,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,106,2.483,0,1,-0.36,faceMorph084.jpg,-0.68,1.00,-0.68,houseMorph034.jpg,0.32,1.00,0.32,0,0.467,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,106,2.483,0,1,-0.36,faceMorph084.jpg,-0.68,1.00,-0.68,houseMorph034.jpg,0.32,1.00,0.32,1,1.099,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,106,2.483,0,1,-0.36,faceMorph084.jpg,-0.68,1.00,-0.68,houseMorph034.jpg,0.32,1.00,0.32,2,0.149,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,106,2.483,0,1,-0.36,faceMorph084.jpg,-0.68,1.00,-0.68,houseMorph034.jpg,0.32,1.00,0.32,3,0.650,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,106,2.483,0,1,-0.36,faceMorph084.jpg,-0.68,1.00,-0.68,houseMorph034.jpg,0.32,1.00,0.32,4,0.117,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,107,2.932,1,1,0.31,faceMorph060.jpg,-0.20,0.10,-0.02,houseMorph017.jpg,0.66,0.50,0.33,0,0.400,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,107,2.932,1,1,0.31,faceMorph060.jpg,-0.20,0.10,-0.02,houseMorph017.jpg,0.66,0.50,0.33,1,1.133,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,107,2.932,1,1,0.31,faceMorph060.jpg,-0.20,0.10,-0.02,houseMorph017.jpg,0.66,0.50,0.33,2,0.083,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,107,2.932,1,1,0.31,faceMorph060.jpg,-0.20,0.10,-0.02,houseMorph017.jpg,0.66,0.50,0.33,3,1.016,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,107,2.932,1,1,0.31,faceMorph060.jpg,-0.20,0.10,-0.02,houseMorph017.jpg,0.66,0.50,0.33,4,0.300,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,108,2.333,1,1,0.62,faceMorph019.jpg,0.62,1.00,0.62,houseMorph050.jpg,-0.00,0.33,-0.00,0,0.333,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,108,2.333,1,1,0.62,faceMorph019.jpg,0.62,1.00,0.62,houseMorph050.jpg,-0.00,0.33,-0.00,1,1.249,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,108,2.333,1,1,0.62,faceMorph019.jpg,0.62,1.00,0.62,houseMorph050.jpg,-0.00,0.33,-0.00,2,0.067,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,108,2.333,1,1,0.62,faceMorph019.jpg,0.62,1.00,0.62,houseMorph050.jpg,-0.00,0.33,-0.00,3,0.633,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,108,2.333,1,1,0.62,faceMorph019.jpg,0.62,1.00,0.62,houseMorph050.jpg,-0.00,0.33,-0.00,4,0.050,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,109,2.617,0,1,-0.17,faceMorph095.jpg,-0.90,0.10,-0.09,houseMorph090.jpg,-0.80,0.10,-0.08,0,0.350,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,109,2.617,0,1,-0.17,faceMorph095.jpg,-0.90,0.10,-0.09,houseMorph090.jpg,-0.80,0.10,-0.08,1,1.151,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,109,2.617,0,1,-0.17,faceMorph095.jpg,-0.90,0.10,-0.09,houseMorph090.jpg,-0.80,0.10,-0.08,2,0.033,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,109,2.617,0,1,-0.17,faceMorph095.jpg,-0.90,0.10,-0.09,houseMorph090.jpg,-0.80,0.10,-0.08,3,0.967,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,109,2.617,0,1,-0.17,faceMorph095.jpg,-0.90,0.10,-0.09,houseMorph090.jpg,-0.80,0.10,-0.08,4,0.116,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,110,2.665,1,1,1.01,faceMorph026.jpg,0.48,0.10,0.05,houseMorph026.jpg,0.48,2.00,0.96,0,0.382,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,110,2.665,1,1,1.01,faceMorph026.jpg,0.48,0.10,0.05,houseMorph026.jpg,0.48,2.00,0.96,1,1.017,left,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,110,2.665,1,1,1.01,faceMorph026.jpg,0.48,0.10,0.05,houseMorph026.jpg,0.48,2.00,0.96,2,0.115,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,110,2.665,1,1,1.01,faceMorph026.jpg,0.48,0.10,0.05,houseMorph026.jpg,0.48,2.00,0.96,3,1.051,right,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,110,2.665,1,1,1.01,faceMorph026.jpg,0.48,0.10,0.05,houseMorph026.jpg,0.48,2.00,0.96,4,0.100,weights,5,1.00,50
2019_Mar_13_0230,3.0.2,3.1.0,1,1,face,997,1,111,2.833,1,1,0.05,faceMorph052.jpg,-0.04,0.50,-0.02,houseMorph039.jpg,0.22,0.33,0.07,0,0.315,weights,5,1.00,50
