Subject	Trial	TimePt	ChoiceX	ChoiceSignedX	ChoiceY	Drx	Trajectory
105	1	1	0.0000	0.0000	0.0000	-1	-0.2184
105	1	2	-0.0074	-0.0074	0.0427	-1	-0.1462
105	1	3	-0.0106	-0.0106	0.0700	-1	-0.2369
105	1	4	-0.0135	-0.0135	0.0860	-1	-0.0446
105	1	5	-0.0140	-0.0140	0.1007	-1	-0.0083
105	1	6	-0.0140	-0.0140	0.1074	-1	-0.4212
105	1	7	-0.0151	-0.0151	0.1107	-1	-0.5605
105	1	8	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	9	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	10	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	11	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	12	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	13	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	14	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	15	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	16	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	17	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	18	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	19	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	20	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	21	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	22	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	23	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	24	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	25	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	26	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	27	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	28	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	29	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	30	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	31	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	32	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	33	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	34	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	35	-0.0156	-0.0156	0.1116	-1	-0.5605
105	1	36	-0.0156	-0.0156	0.1116	-1	-0.4324
105	1	37	-0.0156	-0.0156	0.1130	-1	-0.0091
105	1	38	-0.0156	-0.0156	0.1216	-1	-0.0622
105	1	39	-0.0167	-0.0167	0.1396	-1	-0.4282
105	1	40	-0.0312	-0.0312	0.1780	-1	-0.6036
105	1	41	-0.0800	-0.0800	0.2648	-1	-0.7883
105	1	42	-0.1432	-0.1432	0.3401	-1	-0.9853
105	1	43	-0.2493	-0.2493	0.4220	-1	-1.0000
105	1	44	-0.3974	-0.3974	0.5186	-1	-1.0000
105	1	45	-0.5609	-0.5609	0.6136	-1	-1.0000
105	1	46	-0.7016	-0.7016	0.6898	-1	-1.0000
105	1	47	-0.7884	-0.7884	0.7342	-1	-1.0000
