Subject	Trial	TimePt	Time	ChoiceX	ChoiceSignedX	ChoiceY	Drx	Trajectory
13	1	1	0.000	-0.0000	0.0000	0.0000	1	0.7316
13	1	2	0.017	-0.0201	0.0201	0.0311	1	0.7985
13	1	3	0.034	-0.0374	0.0374	0.0547	1	0.7509
13	1	4	0.051	-0.0503	0.0503	0.0740	1	0.7286
13	1	5	0.067	-0.0589	0.0589	0.0873	1	0.7276
13	1	6	0.084	-0.0647	0.0647	0.0962	1	0.4453
13	1	7	0.101	-0.0704	0.0704	0.1124	1	0.4127
13	1	8	0.118	-0.0733	0.0733	0.1213	1	0.5078
13	1	9	0.134	-0.0776	0.0776	0.1317	1	0.6383
13	1	10	0.151	-0.0833	0.0833	0.1420	1	0.3251
13	1	11	0.168	-0.0848	0.0848	0.1479	1	0.3246
13	1	12	0.185	-0.0862	0.0862	0.1538	1	0.0492
13	1	13	0.202	-0.0862	0.0862	0.1627	1	0.3221
13	1	14	0.218	-0.0876	0.0876	0.1686	1	0.0493
13	1	15	0.235	-0.0876	0.0876	0.1790	1	0.2310
13	1	16	0.252	-0.0891	0.0891	0.1879	1	0.3547
13	1	17	0.269	-0.0920	0.0920	0.1982	1	0.4012
13	1	18	0.286	-0.0948	0.0948	0.2071	1	0.4003
13	1	19	0.302	-0.0977	0.0977	0.2160	1	0.5533
13	1	20	0.319	-0.1020	0.1020	0.2249	1	0.5910
13	1	21	0.336	-0.1106	0.1106	0.2411	1	0.7442
13	1	22	0.353	-0.1193	0.1193	0.2530	1	0.5889
13	1	23	0.370	-0.1279	0.1279	0.2692	1	0.6579
13	1	24	0.386	-0.1379	0.1379	0.2855	1	0.7207
13	1	25	0.403	-0.1494	0.1494	0.3018	1	0.5479
13	1	26	0.420	-0.1580	0.1580	0.3195	1	0.5816
13	1	27	0.437	-0.1667	0.1667	0.3358	1	0.6687
13	1	28	0.454	-0.1782	0.1782	0.3536	1	0.4590
13	1	29	0.470	-0.1868	0.1868	0.3757	1	0.4552
13	1	30	0.487	-0.1954	0.1954	0.3979	1	0.4511
13	1	31	0.504	-0.2040	0.2040	0.4201	1	0.3782
13	1	32	0.521	-0.2141	0.2141	0.4527	1	0.1583
13	1	33	0.538	-0.2155	0.2155	0.4719	1	0.2058
13	1	34	0.554	-0.2184	0.2184	0.4941	1	0.2861
13	1	35	0.571	-0.2227	0.2227	0.5133	1	0.2276
13	1	36	0.588	-0.2256	0.2256	0.5311	1	0.2369
13	1	37	0.605	-0.2284	0.2284	0.5473	1	0.1447
13	1	38	0.622	-0.2299	0.2299	0.5666	1	0.1464
13	1	39	0.638	-0.2313	0.2313	0.5843	1	0.0211
13	1	40	0.655	-0.2299	0.2299	0.6080	1	-0.0793
13	1	41	0.672	-0.2270	0.2270	0.6243	1	0.0649
13	1	42	0.689	-0.2270	0.2270	0.6494	1	0.0605
13	1	43	0.706	-0.2270	0.2270	0.6612	1	0.1458
13	1	44	0.722	-0.2284	0.2284	0.6746	1	0.3086
13	1	45	0.739	-0.2313	0.2313	0.6834	1	0.0556
13	1	46	0.756	-0.2313	0.2313	0.6879	1	0.3045
13	1	47	0.773	-0.2328	0.2328	0.6923	1	0.0544
13	1	48	0.790	-0.2328	0.2328	0.6982	1	0.4111
13	1	49	0.806	-0.2342	0.2342	0.7012	1	0.0531
13	1	50	0.823	-0.2342	0.2342	0.7041	-1	0.0526
13	1	51	0.840	-0.2342	0.2342	0.7263	-1	-0.1822
13	1	52	0.857	-0.2256	0.2256	0.7544	-1	-0.3759
13	1	53	0.873	-0.2083	0.2083	0.7825	-1	-0.4845
13	1	54	0.890	-0.1810	0.1810	0.8151	-1	-0.4710
13	1	55	0.907	-0.1509	0.1509	0.8521	-1	-0.5908
13	1	56	0.924	-0.1164	0.1164	0.8817	-1	-0.6451
13	1	57	0.941	-0.0647	0.0647	0.9186	-1	-0.7087
13	1	58	0.957	0.0014	-0.0014	0.9556	-1	-0.7582
13	1	59	0.974	0.0891	-0.0891	0.9941	-1	-0.7996
13	1	60	0.991	0.1739	-0.1739	1.0222	-1	-0.8257
13	1	61	1.008	0.2658	-0.2658	1.0503	-1	-0.8703
13	1	62	1.025	0.3966	-0.3966	1.0858	-1	-1.0000
13	1	63	1.041	0.4856	-0.4856	1.0976	-1	-1.0000
13	1	64	1.058	0.5805	-0.5805	1.1095	-1	-1.0000
13	1	65	1.075	0.6609	-0.6609	1.1213	-1	-1.0000
13	1	66	1.092	0.7227	-0.7227	1.1243	-1	-1.0000
13	1	67	1.109	0.7716	-0.7716	1.1243	-1	-1.0000
13	1	68	1.125	0.7974	-0.7974	1.1243	-1	-1.0000
13	1	69	1.142	0.8147	-0.8147	1.1213	-1	-0.8233
13	1	70	1.159	0.8204	-0.8204	1.1154	-1	-1.0000
13	1	71	1.176	0.8247	-0.8247	1.1139	-1	-1.0000
13	1	72	1.193	0.8477	-0.8477	1.1080	-1	-1.0000
13	1	73	1.209	0.8693	-0.8693	1.1050	-1	-1.0000
13	1	74	1.226	0.8980	-0.8980	1.0932	-1	-1.0000
13	1	75	1.243	0.9239	-0.9239	1.0754	-1	-1.0000
13	1	76	1.260	0.9353	-0.9353	1.0562	-1	-1.0000
13	1	77	1.277	0.9353	-0.9353	1.0444	-1	-1.0000
13	1	78	1.293	0.9353	-0.9353	1.0370	-1	-1.0000
13	1	79	1.310	0.9353	-0.9353	1.0340	-1	-1.0000
13	1	80	1.327	0.9353	-0.9353	1.0296	-1	-1.0000
13	1	81	1.344	0.9397	-0.9397	1.0251	-1	-1.0000
13	1	82	1.361	0.9555	-0.9555	1.0133	-1	-1.0000
13	1	83	1.377	0.9727	-0.9727	1.0059	-1	-1.0000
13	1	84	1.394	0.9842	-0.9842	1.0044	-1	-1.0000
13	1	85	1.411	0.9957	-0.9957	1.0000	-1	-1.0000
13	1	86	1.428	0.9971	-0.9971	1.0000	-1	-1.0000
13	1	87	1.445	1.0000	-1.0000	1.0000	-1	-1.0000
13	1	88	1.461	1.0000	-1.0000	1.0000	-1	-1.0000
13	1	89	1.478	1.0000	-1.0000	1.0000	-1	-1.0000
13	1	90	1.495	1.0000	-1.0000	1.0000	-1	-1.0000
13	2	1	0.000	-0.0000	0.0000	0.0000	1	0.2910
13	2	2	0.017	-0.0148	0.0148	0.0635	1	0.3112
13	2	3	0.034	-0.0384	0.0384	0.1571	1	0.1910
13	2	4	0.050	-0.0547	0.0547	0.2667	1	0.0886
13	2	5	0.067	-0.0591	0.0591	0.3444	1	0.0274
13	2	6	0.084	-0.0591	0.0591	0.3921	1	0.1194
13	2	7	0.101	-0.0635	0.0635	0.4381	1	0.0541
13	2	8	0.118	-0.0650	0.0650	0.4873	1	0.0241
13	2	9	0.134	-0.0650	0.0650	0.5333	1	0.0220
13	2	10	0.151	-0.0650	0.0650	0.5667	1	0.0205
13	2	11	0.168	-0.0650	0.0650	0.5937	1	0.0192
13	2	12	0.185	-0.0650	0.0650	0.6222	1	0.0178
13	2	13	0.202	-0.0650	0.0650	0.6333	1	0.1847
13	2	14	0.218	-0.0679	0.0679	0.6476	1	0.0174
13	2	15	0.235	-0.0679	0.0679	0.6635	1	0.0166
13	2	16	0.252	-0.0679	0.0679	0.6762	1	0.0159
13	2	17	0.269	-0.0679	0.0679	0.6873	1	0.0153
13	2	18	0.285	-0.0679	0.0679	0.7000	1	0.0147
13	2	19	0.302	-0.0679	0.0679	0.7127	1	0.0140
13	2	20	0.319	-0.0679	0.0679	0.7190	1	0.1557
13	2	21	0.336	-0.0694	0.0694	0.7270	1	0.0136
