color,congruent,word,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,date,frameRate,expName,session,participant,
green,0,red,g,0,0,0,1,g,1,1.88584452524,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,0,1,1,4,b,1,1.1181321537,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,0,2,2,2,g,1,2.01881854021,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,0,3,3,0,r,1,1.98587084608,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,0,4,4,5,r,1,1.23483198194,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,0,5,5,3,b,1,1.18515248992,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,0,red,g,1,0,6,1,g,1,1.45210888679,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,1,1,7,5,r,1,1.51873050345,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,1,2,8,2,g,1,1.13505144295,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,1,3,9,4,b,1,1.2849573667,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,1,4,10,0,r,1,1.20176049543,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,1,5,11,3,b,1,1.2685587866,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,2,0,12,4,b,1,0.918268806068,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,2,1,13,5,r,1,2.78676257172,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,2,2,14,3,b,1,1.40207274066,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,0,red,g,2,3,15,1,g,1,0.868266913109,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,2,4,16,2,g,1,0.917926574301,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,2,5,17,0,r,1,0.918220731372,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,3,0,18,2,g,1,1.08469349676,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,0,red,g,3,1,19,1,g,1,0.734511383751,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,3,2,20,0,r,1,1.06817202567,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,3,3,21,4,b,1,1.43541885383,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,3,4,22,5,r,1,1.23528418457,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,3,5,23,3,b,1,1.40206853411,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,4,0,24,4,b,1,0.801349937508,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,0,red,g,4,1,25,1,g,1,1.16827105958,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,4,2,26,2,g,1,0.517823093513,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,4,3,27,5,r,1,1.00168892421,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,4,4,28,0,r,1,0.917719252175,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,4,5,29,3,b,1,0.918119474023,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,5,0,30,0,g,0,0.567883577489,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,0,red,g,5,1,31,1,g,1,1.35180613637,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,5,2,32,5,r,1,2.01924580411,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,5,3,33,3,b,1,3.58762364963,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,5,4,34,2,g,1,1.25140513334,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,5,5,35,4,b,1,0.651230682211,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,6,0,36,2,g,1,1.71904214768,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,6,1,37,3,b,1,0.868309278972,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,0,red,g,6,2,38,1,g,1,1.40185550309,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,6,3,39,5,r,1,0.784671021858,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,6,4,40,4,b,1,1.35120159702,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,6,5,41,0,r,1,0.634745267162,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,7,0,42,4,b,1,1.86921278283,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,7,1,43,5,r,1,1.15186046076,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,7,2,44,2,g,1,0.634520517953,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,7,3,45,0,r,1,0.517960707366,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,7,4,46,3,b,1,0.617959685798,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,0,red,g,7,5,47,1,g,1,1.41865670879,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,8,0,48,0,r,1,0.968368050235,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,8,1,49,5,r,1,1.3856816722,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,8,2,50,2,b,0,0.684746258717,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,8,3,51,3,b,1,1.08518145495,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,8,4,52,4,b,1,1.53556325822,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,0,red,g,8,5,53,1,g,1,1.76895900851,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,1,green,g,9,0,54,2,g,1,0.901548726426,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,1,red,r,9,1,55,0,r,1,0.901653889799,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,0,green,b,9,2,56,3,b,1,2.95357907121,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
blue,1,blue ,b,9,3,57,4,b,1,0.517599846644,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
green,0,red,g,9,4,58,1,g,1,0.818158354436,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
red,0,blue ,r,9,5,59,5,r,1,1.00174931809,2017_Mar_31_1053,59.9304565176,Stroop,001,58,
