color,congruent,word,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,date,frameRate,expName,session,participant,
red,0,blue ,r,0,0,0,5,r,1,1.55866495703,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,0,1,1,3,b,1,1.08466630051,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,0,2,2,2,g,1,0.970758648269,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,0,3,3,4,b,1,1.02150128601,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,0,4,4,1,g,1,3.24824657501,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,0,5,5,0,r,1,1.0385079773,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,0,blue ,r,1,0,6,5,b,0,1.0201008635,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,1,1,7,4,b,1,4.98940479395,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,1,2,8,1,g,1,1.71882495613,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,1,3,9,0,r,1,1.56912409366,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,1,4,10,3,b,1,1.3252698131,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,1,5,11,2,g,1,1.01217241949,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,2,0,12,1,g,1,1.02684606641,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,2,1,13,3,b,1,1.253364573,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,2,2,14,4,b,1,1.57064999136,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,2,3,15,0,r,1,0.749211807124,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,2,4,16,2,g,1,0.690097754792,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,0,blue ,r,2,5,17,5,r,1,1.73251400338,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,3,0,18,4,b,1,1.28278834384,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,3,1,19,3,g,0,1.51794080285,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,3,2,20,1,g,1,2.65865545534,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,3,3,21,2,g,1,0.780048250017,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,3,4,22,0,r,1,0.989037969324,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,0,blue ,r,3,5,23,5,r,1,1.49788165404,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,4,0,24,0,r,1,0.71044294734,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,4,1,25,2,g,1,0.879139564524,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,4,2,26,4,b,1,1.45663805236,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,4,3,27,3,b,1,1.41951063345,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,4,4,28,1,g,1,1.51241327231,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,0,blue ,r,4,5,29,5,r,1,1.1983683588,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,5,0,30,1,g,1,1.52945108403,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,5,1,31,2,g,1,1.00390661601,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,5,2,32,0,r,1,1.25097888871,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,0,blue ,r,5,3,33,5,r,1,1.32389322756,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,5,4,34,4,b,1,0.92130287629,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,5,5,35,3,b,1,1.55771743713,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,6,0,36,3,b,1,0.641837142437,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,6,1,37,0,r,1,0.864780764357,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,0,blue ,r,6,2,38,5,r,1,1.16215038684,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,6,3,39,4,b,1,0.879386211047,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,6,4,40,1,g,1,1.47215592564,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,6,5,41,2,g,1,0.70681144984,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,7,0,42,4,b,1,0.920807927905,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,7,1,43,1,g,1,1.35618803007,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,7,2,44,2,g,1,1.12357685788,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,0,blue ,r,7,3,45,5,r,1,1.2680580841,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,7,4,46,0,r,1,0.831837728445,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,7,5,47,3,b,1,1.30148216349,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,8,0,48,2,g,1,0.78553307266,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,8,1,49,3,b,1,1.82011821156,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,8,2,50,4,b,1,0.842819292186,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,0,blue ,r,8,3,51,5,r,1,1.13198270364,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,8,4,52,1,g,1,1.73748169601,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,8,5,53,0,r,1,0.74162966141,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,1,blue ,b,9,0,54,4,b,1,1.15524991252,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,1,red,r,9,1,55,0,r,1,0.792424939194,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
red,0,blue ,r,9,2,56,5,r,1,0.982942655188,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,1,green,g,9,3,57,2,g,1,0.723388082231,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
green,0,red,g,9,4,58,1,g,1,1.39327605176,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
blue,0,green,b,9,5,59,3,b,1,1.10248311795,2017_Mar_31_1159,60.1190033098,Stroop,001,65,
