color,congruent,word,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,date,frameRate,expName,session,participant,
blue,1,blue ,b,0,0,0,4,b,1,1.3668892257,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
green,1,green,g,0,1,1,2,g,1,0.766854769696,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
red,0,blue ,r,0,2,2,5,r,1,1.06696125347,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
green,0,red,g,0,3,3,1,g,1,1.28352983654,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
red,1,red,r,0,4,4,0,r,1,0.783751418086,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
blue,0,green,b,0,5,5,3,b,1,0.766982330271,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
blue,0,green,b,1,0,6,3,b,1,0.616858893423,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
red,1,red,r,1,1,7,0,r,1,0.666847621877,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
blue,1,blue ,b,1,2,8,4,b,1,0.60019280712,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
red,0,blue ,r,1,3,9,5,r,1,0.6336147853,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
green,1,green,g,1,4,10,2,g,1,0.916831218638,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
green,0,red,g,1,5,11,1,g,1,0.716889134084,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
blue,1,blue ,b,2,0,12,4,b,1,0.516858710122,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
green,0,red,g,2,1,13,1,g,1,0.666837724944,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
red,1,red,r,2,2,14,0,r,1,0.633551738109,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
blue,0,green,b,2,3,15,3,b,1,0.65016907276,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
red,0,blue ,r,2,4,16,5,r,1,0.783505460713,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
green,1,green,g,2,5,17,2,g,1,0.616850462684,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
red,1,red,r,3,0,18,0,r,1,0.583505827293,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
green,1,green,g,3,1,19,2,g,1,0.583489332377,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
red,0,blue ,r,3,2,20,5,r,1,0.566837541672,2017_Mar_31_1016,60.0010336986,Stroop,001,60,
