color,congruent,word,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,date,frameRate,expName,session,participant,
green,1,green,g,0,0,0,2,g,1,1.88568417064,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,0,blue ,r,0,1,1,5,r,1,1.4685376375,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,1,blue ,b,0,2,2,4,b,1,1.05151098967,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,1,red,r,0,3,3,0,r,1,2.61965913535,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,0,red,g,0,4,4,1,g,1,1.51991131494,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,0,green,b,0,5,5,3,b,1,0.934719635348,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,0,blue ,r,1,0,6,5,r,1,1.86888791871,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,1,blue ,b,1,1,7,4,b,1,1.33509455458,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,0,green,b,1,2,8,3,b,1,1.08490668936,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,1,red,r,1,3,9,0,r,1,1.75206411426,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,0,red,g,1,4,10,1,g,1,1.00161439436,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,1,green,g,1,5,11,2,g,1,0.784491117229,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,1,green,g,2,0,12,2,g,1,0.534287026851,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,1,red,r,2,1,13,0,r,1,1.61872709525,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,1,blue ,b,2,2,14,4,b,1,0.784467080084,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,0,green,b,2,3,15,3,b,1,0.751332784304,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,0,red,g,2,4,16,1,g,1,0.935358722752,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,0,blue ,r,2,5,17,5,r,1,1.23499008315,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,1,blue ,b,3,0,18,4,b,1,0.734461416316,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,0,red,g,3,1,19,1,g,1,0.85124856414,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,0,blue ,r,3,2,20,5,r,1,0.767929227441,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,1,red,r,3,3,21,0,r,1,0.651075376547,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,0,green,b,3,4,22,3,b,1,0.868092890363,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,1,green,g,3,5,23,2,g,1,0.617614175659,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,0,red,g,4,0,24,1,g,1,1.10154880304,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,0,green,b,4,1,25,3,b,1,0.600933602545,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,1,blue ,b,4,2,26,4,b,1,0.985077743593,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,0,blue ,r,4,3,27,5,r,1,0.66776796832,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,1,green,g,4,4,28,2,g,1,0.467461674998,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,1,red,r,4,5,29,0,r,1,1.1013946649,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,0,red,g,5,0,30,1,g,1,0.86791231134,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,1,red,r,5,1,31,0,r,1,0.567717580416,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,0,green,b,5,2,32,3,b,1,0.534253675316,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,1,green,g,5,3,33,2,g,1,1.11819121731,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,0,blue ,r,5,4,34,5,r,1,0.951277619053,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,1,blue ,b,5,5,35,4,b,1,1.00121357507,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,0,green,b,6,0,36,3,b,1,0.751351112616,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,1,green,g,6,1,37,2,g,1,0.600963348465,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,0,red,g,6,2,38,1,g,1,0.667819648108,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,1,red,r,6,3,39,0,r,1,0.484441210108,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,1,blue ,b,6,4,40,4,b,1,0.617618983088,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,0,blue ,r,6,5,41,5,r,1,0.634381282493,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,0,green,b,7,0,42,3,b,1,0.717841837439,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,1,blue ,b,7,1,43,4,b,1,0.434193672612,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,1,green,g,7,2,44,2,g,1,0.484287071973,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,0,red,g,7,3,45,1,g,1,0.651114737382,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,1,red,r,7,4,46,0,r,1,0.634458201414,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
red,0,blue ,r,7,5,47,5,r,1,0.634455196734,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
blue,0,green,b,8,0,48,3,b,1,0.651251749077,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
green,0,red,g,8,1,49,1,g,1,0.617789346317,2017_Mar_31_1503,60.1448783031,Stroop,001,71,
