color,congruent,word,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Response.keys,Response.corr,Response.rt,date,frameRate,expName,session,participant,
green,1,green,g,0,0,0,2,g,1,2.58352415496,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,0,1,1,1,g,1,2.53346761409,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,0,2,2,5,r,1,1.40020636958,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,0,3,3,3,b,1,1.166839741,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,0,4,4,4,b,1,2.68350784335,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,0,5,5,0,r,1,1.21702200972,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,1,0,6,0,r,1,0.916845147673,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,1,1,7,1,g,1,0.733505369048,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,1,2,8,5,r,1,1.11683415103,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,1,green,g,1,3,9,2,g,1,0.500175395806,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,1,4,10,4,b,1,0.78350399452,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,1,5,11,3,b,1,1.11685541115,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,2,0,12,0,r,1,0.783531486057,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,2,1,13,3,b,1,0.850038946315,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,2,2,14,5,r,1,0.650186300802,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,1,green,g,2,3,15,2,g,1,0.65042675985,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,2,4,16,1,g,1,0.716842215275,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,2,5,17,4,b,1,1.85017677041,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,3,0,18,4,b,1,0.650218924042,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,3,1,19,3,b,1,0.833513616526,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,1,green,g,3,2,20,2,g,1,0.750189783052,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,3,3,21,1,g,1,1.73348374246,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,3,4,22,5,r,1,0.950229737384,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,3,5,23,0,r,1,0.633508118219,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,4,0,24,4,b,1,1.21683360124,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,4,1,25,0,r,1,0.616846430581,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,4,2,26,1,g,1,0.583582070365,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,4,3,27,3,b,1,1.58349629689,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,1,green,g,4,4,28,2,g,1,0.683498679486,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,4,5,29,5,r,1,0.550173654687,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,5,0,30,3,b,1,1.11684624729,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,5,1,31,0,r,1,0.666847621906,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,5,2,32,5,r,1,0.666841390484,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,1,green,g,5,3,33,2,g,1,1.15020627796,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,5,4,34,1,g,1,1.35015129496,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,5,5,35,4,b,1,0.900155235431,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,6,0,36,0,r,1,0.50017246342,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,1,green,g,6,1,37,2,g,1,0.600171547034,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,6,2,38,3,b,1,1.01683396776,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,6,3,39,5,r,1,1.76684707205,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,6,4,40,4,b,1,2.45016284136,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,6,5,41,1,g,1,0.500191524159,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,7,0,42,1,g,1,0.783505094121,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,7,1,43,4,b,1,0.566852936929,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,1,green,g,7,2,44,2,g,1,0.85016760655,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,7,3,45,5,r,1,0.400166415318,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,7,4,46,3,b,1,2.86684029084,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,7,5,47,0,r,1,0.733507568424,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,8,0,48,0,r,1,0.983515357657,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,8,1,49,1,g,1,0.683499412611,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,8,2,50,3,b,1,0.950172188459,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,1,green,g,8,3,51,2,g,1,0.883477785916,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,8,4,52,4,b,1,0.51685137907,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,8,5,53,5,r,1,1.03368296428,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,1,green,g,9,0,54,2,g,1,1.28350601054,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,1,red,r,9,1,55,0,r,1,0.566832776472,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,1,blue ,b,9,2,56,4,b,1,0.916838183126,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
green,0,red,g,9,3,57,1,g,1,0.583516090759,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
red,0,blue ,r,9,4,58,5,r,1,1.25014854578,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
blue,0,green,b,9,5,59,3,b,1,2.78350142861,2017_Mar_31_1500,60.0081605922,Stroop,001,72,
