Subject	Trial	Instruction	Food	Liking	Taste	Health	Amount	Choice	ChoiceRT	FirstDevTimeChoice	InitAngleChoice	NumChangeMindChoice	FinalDevTimeChoice	MaxVelocityChoice	DrxFirstDevChoice	TotalAUCChoice	AUCtoNonChosenChoice	AUCtoChosenChoice	MaxDevChoice
96.0000	1.0000	Focus on Health	Reese	6.0000	6.0000	1.0000	1	-1.0000	1.2768	0.6719	0.2898	0.0000	0.6719	0.2754	-1.0000	0.0199	0.0633	-0.0433	-0.2905
96.0000	2.0000	Focus on Health	YorkPeppermintPatties	5.0000	5.0000	3.0000	4	-1.0000	1.5635	0.2856	-0.6054	2.0000	1.0419	0.4738	-1.0000	0.6404	0.6591	-0.0187	1.5773
96.0000	3.0000	Focus on Health	Strawberries	6.0000	6.0000	6.0000	2	1.0000	0.7393	0.4033	0.0621	0.0000	0.4033	0.2814	1.0000	0.0959	0.1374	-0.0415	0.2370
96.0000	4.0000	Focus on Health	BabyFoodSweetPotatos	1.0000	5.0000	6.0000	2	1.0000	1.0587	0.1681	0.7420	0.0000	0.1681	3.0885	1.0000	4.1131	4.1215	-0.0084	7.6178
96.0000	5.0000	Focus on Health	Broccoli	6.0000	6.0000	6.0000	1	1.0000	1.0419	0.2017	-0.8044	2.0000	0.7395	0.8009	-1.0000	0.8075	0.8137	-0.0062	1.8725
96.0000	6.0000	Focus on Health	OatBran	5.0000	5.0000	6.0000	2	1.0000	3.3929	0.1851	-0.6564	3.0000	2.8047	0.5490	-1.0000	0.4728	0.4773	-0.0044	0.9444
96.0000	7.0000	Focus on Health	SlicedTurkey	1.0000	5.0000	6.0000	5	-1.0000	0.9404	0.7052	0.0781	0.0000	0.7052	0.6261	-1.0000	0.5879	0.5879	-0.0000	0.7605
96.0000	8.0000	Focus on Health	SunChips	6.0000	6.0000	3.0000	4	1.0000	0.7395	0.3866	-0.1895	0.0000	0.3866	0.3893	1.0000	0.4472	0.4473	-0.0001	0.7477
96.0000	9.0000	Focus on Health	AllBranCereal	5.0000	5.0000	5.0000	2	1.0000	1.6123	1.2595	-0.2216	0.0000	1.2595	0.2642	1.0000	0.6778	0.6778	-0.0000	0.8300
96.0000	10.0000	Focus on Health	RaisinBran	5.0000	4.0000	5.0000	7	1.0000	3.1572	0.6214	-0.1401	2.0000	1.7973	0.8725	1.0000	0.5512	0.5512	-0.0000	1.2450
96.0000	11.0000	Respond Naturally	VegetableThins	5.0000	6.0000	4.0000	5	1.0000	1.1424	0.4198	-0.1831	0.0000	0.4198	0.1993	1.0000	0.3659	0.3659	-0.0000	0.5970
96.0000	12.0000	Respond Naturally	Triscuit	5.0000	5.0000	3.0000	2	1.0000	1.1090	0.5712	-0.1043	0.0000	0.5712	0.5268	1.0000	0.6160	0.6160	-0.0000	0.9599
96.0000	13.0000	Respond Naturally	Nutella	3.0000	2.0000	1.0000	4	-1.0000	1.8146	0.5375	0.0145	1.0000	1.2096	0.4307	1.0000	0.8335	0.8335	-0.0000	1.5232
96.0000	14.0000	Respond Naturally	RufflesSourCreamOnion	2.0000	6.0000	2.0000	3	-1.0000	1.5625	0.6046	0.1122	1.0000	0.9239	0.4089	1.0000	0.7200	0.7200	-0.0000	1.3466
96.0000	15.0000	Respond Naturally	FrozenBroccoli	6.0000	6.0000	6.0000	6	1.0000	0.8063	0.2854	-0.0831	0.0000	0.2854	0.5566	1.0000	0.5091	0.5091	-0.0000	0.9824
96.0000	16.0000	Respond Naturally	EnglishCucumber	6.0000	6.0000	6.0000	2	1.0000	0.7224	0.3190	-0.0939	0.0000	0.3190	0.4110	1.0000	0.4416	0.4460	-0.0044	0.8561
96.0000	17.0000	Respond Naturally	ProMax	5.0000	5.0000	2.0000	4	1.0000	0.9744	0.1345	-0.1830	0.0000	0.1345	0.5728	1.0000	0.2666	0.2690	-0.0024	1.0464
96.0000	18.0000	Respond Naturally	Asparagus	6.0000	6.0000	6.0000	3	1.0000	0.7056	0.1511	-0.0971	0.0000	0.1511	0.5907	1.0000	0.4631	0.4631	-0.0000	0.9669
96.0000	19.0000	Respond Naturally	Smartfood	6.0000	5.0000	3.0000	2	1.0000	0.7561	0.2183	-0.1183	0.0000	0.2183	0.3527	1.0000	0.4146	0.4146	-0.0000	0.8222
96.0000	20.0000	Respond Naturally	Bananas	6.0000	6.0000	6.0000	3	1.0000	0.7395	0.2016	-0.0453	0.0000	0.2016	0.4099	1.0000	0.4460	0.4460	-0.0000	0.8716
96.0000	21.0000	Focus on Health	Cheetos	6.0000	6.0000	2.0000	6	-1.0000	1.0584	0.4198	0.0645	1.0000	0.6382	0.5759	1.0000	0.5879	0.5886	-0.0007	0.9152
96.0000	22.0000	Focus on Health	CornFlakes	6.0000	5.0000	5.0000	6	1.0000	0.8401	0.2184	-0.1213	0.0000	0.2184	0.4164	1.0000	0.5547	0.5547	-0.0000	0.9728
96.0000	23.0000	Focus on Health	ClamJuice	1.0000	2.0000	4.0000	1	1.0000	1.8312	0.4367	-0.0926	3.0000	1.4447	0.7431	-1.0000	0.7187	0.7188	-0.0001	1.2332
96.0000	24.0000	Focus on Health	FrootLoops	6.0000	6.0000	5.0000	2	1.0000	0.9409	0.1008	-0.1586	0.0000	0.1008	0.6980	1.0000	0.5006	0.5006	-0.0000	1.0795
96.0000	25.0000	Focus on Health	RufflesSourCreamOnion	1.0000	6.0000	2.0000	5	1.0000	1.2091	0.4032	-0.1039	0.0000	0.4032	0.5714	1.0000	0.2774	0.2774	-0.0000	0.7319
96.0000	26.0000	Focus on Health	Beets	3.0000	2.0000	6.0000	5	1.0000	1.3769	0.6879	-0.1171	1.0000	0.8728	0.7858	-1.0000	0.5003	0.5416	-0.0412	1.2814
96.0000	27.0000	Focus on Health	Prunes	4.0000	4.0000	5.0000	2	1.0000	0.8399	0.3526	-0.0405	0.0000	0.3526	0.5407	1.0000	0.5302	0.5302	-0.0000	0.9430
96.0000	28.0000	Focus on Health	Caramilk	6.0000	6.0000	1.0000	5	-1.0000	1.4111	0.5878	0.0302	1.0000	0.9238	0.2877	1.0000	0.6259	0.6259	-0.0000	1.3412
96.0000	29.0000	Focus on Health	RomaineLettuce	6.0000	6.0000	6.0000	4	1.0000	0.7054	0.3527	-0.1644	0.0000	0.3527	0.3308	1.0000	0.3992	0.4028	-0.0036	0.7566
96.0000	30.0000	Focus on Health	Strawberries	6.0000	6.0000	6.0000	3	1.0000	0.7726	0.4199	-0.0770	0.0000	0.4199	0.2587	1.0000	0.4279	0.4279	-0.0000	0.6880
96.0000	31.0000	Respond Naturally	Prunes	4.0000	4.0000	5.0000	5	1.0000	1.1592	0.6046	-0.2132	0.0000	0.6046	0.3980	1.0000	0.6124	0.6316	-0.0192	1.0800
96.0000	32.0000	Respond Naturally	SkittlesSour	6.0000	6.0000	1.0000	3	1.0000	0.7727	0.1511	-0.1156	0.0000	0.1511	0.6161	1.0000	0.3797	0.3803	-0.0005	1.0374
96.0000	33.0000	Respond Naturally	AlmondMilk	3.0000	6.0000	4.0000	4	-1.0000	1.4451	0.2017	0.1204	1.0000	0.5042	0.5121	1.0000	0.9705	0.9705	-0.0000	1.6092
96.0000	34.0000	Respond Naturally	MangoChunks	6.0000	6.0000	6.0000	2	1.0000	0.7390	0.2518	-0.0661	0.0000	0.2518	0.5944	1.0000	0.2871	0.3218	-0.0347	0.7582
96.0000	35.0000	Respond Naturally	Raspberries	6.0000	6.0000	6.0000	5	1.0000	0.7389	0.3692	-0.0198	0.0000	0.3692	0.8763	1.0000	0.6916	0.6916	-0.0000	1.2153
96.0000	36.0000	Respond Naturally	PureFit	4.0000	4.0000	5.0000	4	1.0000	1.2095	0.3023	-0.0618	2.0000	1.0247	0.7303	1.0000	0.4460	0.4460	-0.0000	1.1107
96.0000	37.0000	Respond Naturally	Mackerel	1.0000	5.0000	6.0000	1	-1.0000	1.4450	0.3863	-0.1107	1.0000	0.9577	0.4079	1.0000	0.4330	0.4330	-0.0000	1.2456
96.0000	38.0000	Respond Naturally	GreenBeans	6.0000	6.0000	6.0000	2	1.0000	0.6719	0.2853	-0.0158	0.0000	0.2853	0.2267	1.0000	0.2313	0.2368	-0.0055	0.4742
96.0000	39.0000	Respond Naturally	Butternut	6.0000	6.0000	6.0000	3	1.0000	0.7897	0.2184	-0.1271	0.0000	0.2184	0.8182	1.0000	0.6531	0.6531	-0.0000	1.1974
96.0000	40.0000	Respond Naturally	Shreddies	5.0000	5.0000	5.0000	2	1.0000	2.4191	0.3695	0.0121	4.0000	1.4113	0.3951	1.0000	0.5436	0.5436	-0.0000	1.4809
96.0000	41.0000	Focus on Health	Cauliflower	6.0000	6.0000	6.0000	2	1.0000	0.7560	0.3359	-0.1368	0.0000	0.3359	0.3948	1.0000	0.2228	0.2738	-0.0510	0.5030
96.0000	42.0000	Focus on Health	CheeseNips	6.0000	5.0000	4.0000	5	-1.0000	1.8649	0.4367	-0.0005	1.0000	1.1422	0.3477	1.0000	0.4164	0.4258	-0.0094	0.8599
