Subject	Trial	TimePt	Time	ChoiceX	ChoiceSignedX	ChoiceY	Drx	Trajectory
125	1	1	0.000	0.0000	0.0000	0.0000	-1	-0.0994
125	1	2	0.017	-0.0149	-0.0149	0.1903	-1	-0.0082
125	1	3	0.034	-0.0149	-0.0149	0.3060	-1	-0.0072
125	1	4	0.051	-0.0149	-0.0149	0.3489	-1	-0.1874
125	1	5	0.067	-0.0186	-0.0186	0.3694	-1	-0.0083
125	1	6	0.084	-0.0186	-0.0186	0.3769	-1	-0.5873
125	1	7	0.101	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	8	0.118	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	9	0.134	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	10	0.151	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	11	0.168	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	12	0.185	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	13	0.202	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	14	0.218	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	15	0.235	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	16	0.252	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	17	0.269	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	18	0.286	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	19	0.302	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	20	0.319	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	21	0.336	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	22	0.353	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	23	0.369	-0.0199	-0.0199	0.3787	-1	-0.5871
125	1	24	0.386	-0.0199	-0.0199	0.3787	-1	-0.2751
125	1	25	0.403	-0.0261	-0.0261	0.4011	-1	-0.6856
125	1	26	0.420	-0.1117	-0.1117	0.5037	-1	-0.8459
125	1	27	0.437	-0.2270	-0.2270	0.5970	-1	-0.9155
125	1	28	0.453	-0.3325	-0.3325	0.6660	-1	-0.9777
125	1	29	0.470	-0.4442	-0.4442	0.7257	-1	-1.0000
125	1	30	0.487	-0.5608	-0.5608	0.7724	-1	-1.0000
125	1	31	0.504	-0.6849	-0.6849	0.8022	-1	-1.0000
125	1	32	0.521	-0.7940	-0.7940	0.8190	-1	-1.0000
125	1	33	0.537	-0.8573	-0.8573	0.8302	-1	-1.0000
125	1	34	0.554	-0.8660	-0.8660	0.8340	-1	-1.0000
125	1	35	0.571	-0.8660	-0.8660	0.8340	-1	-1.0000
125	1	36	0.588	-0.8660	-0.8660	0.8340	-1	-1.0000
125	1	37	0.605	-0.8660	-0.8660	0.8340	-1	-1.0000
125	1	38	0.621	-0.8660	-0.8660	0.8340	-1	-0.5735
125	1	39	0.638	-0.8672	-0.8672	0.8396	1	0.3335
125	1	40	0.655	-0.8300	-0.8300	0.8787	1	0.5121
125	1	41	0.672	-0.7159	-0.7159	0.9683	1	0.7113
125	1	42	0.689	-0.5397	-0.5397	1.0541	1	0.9501
