date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, payout
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,4.920,1,1,0.82,faceMorph097.jpg,0.94,1.00,0.94,houseMorph056.jpg,-0.12,1.00,-0.12,0,0.517,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,4.920,1,1,0.82,faceMorph097.jpg,0.94,1.00,0.94,houseMorph056.jpg,-0.12,1.00,-0.12,1,1.065,left,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,4.920,1,1,0.82,faceMorph097.jpg,0.94,1.00,0.94,houseMorph056.jpg,-0.12,1.00,-0.12,2,0.283,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,4.920,1,1,0.82,faceMorph097.jpg,0.94,1.00,0.94,houseMorph056.jpg,-0.12,1.00,-0.12,3,1.154,right,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,0,4.920,1,1,0.82,faceMorph097.jpg,0.94,1.00,0.94,houseMorph056.jpg,-0.12,1.00,-0.12,4,1.900,weights,5,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,4.300,1,1,1.79,faceMorph043.jpg,-0.14,0.10,-0.01,houseMorph020.jpg,0.60,3.00,1.80,0,0.600,weights,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,4.300,1,1,1.79,faceMorph043.jpg,-0.14,0.10,-0.01,houseMorph020.jpg,0.60,3.00,1.80,1,1.034,left,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,4.300,1,1,1.79,faceMorph043.jpg,-0.14,0.10,-0.01,houseMorph020.jpg,0.60,3.00,1.80,2,0.282,weights,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,4.300,1,1,1.79,faceMorph043.jpg,-0.14,0.10,-0.01,houseMorph020.jpg,0.60,3.00,1.80,3,1.451,right,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,4.300,1,1,1.79,faceMorph043.jpg,-0.14,0.10,-0.01,houseMorph020.jpg,0.60,3.00,1.80,4,0.183,weights,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,4.300,1,1,1.79,faceMorph043.jpg,-0.14,0.10,-0.01,houseMorph020.jpg,0.60,3.00,1.80,5,0.582,left,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,1,4.300,1,1,1.79,faceMorph043.jpg,-0.14,0.10,-0.01,houseMorph020.jpg,0.60,3.00,1.80,6,0.167,weights,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,4.851,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,0,0.850,weights,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,4.851,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,1,1.700,left,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,4.851,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,2,0.183,weights,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,4.851,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,3,1.167,right,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,4.851,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,4,0.132,weights,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,4.851,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,5,0.735,left,7,1.00,0
2019_Mar_13_0110,3.0.2,3.1.0,0,1,face,999,0,2,4.851,1,1,3.48,faceMorph066.jpg,0.32,10.00,3.20,houseMorph008.jpg,0.84,0.33,0.28,6,0.083,weights,7,1.00,0
