date, psychopy_version, exp_version, face_version, house_version, left, subject, block, condition, trial, rt, stim_start_rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, payout
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,3,2.999,2.533,0,1,-0.93,faceMorph036.jpg,-0.28,3.00,-0.84,houseMorph097.jpg,-0.94,0.10,-0.09,4,0.216,weights,5,1.00,50
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,4,3.551,2.834,1,0,-0.08,faceMorph063.jpg,0.26,2.00,0.52,houseMorph080.jpg,-0.60,1.00,-0.60,0,0.716,weights,5,0.80,9
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,4,3.551,2.834,1,0,-0.08,faceMorph063.jpg,0.26,2.00,0.52,houseMorph080.jpg,-0.60,1.00,-0.60,1,1.184,left,5,0.80,9
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,4,3.551,2.834,1,0,-0.08,faceMorph063.jpg,0.26,2.00,0.52,houseMorph080.jpg,-0.60,1.00,-0.60,2,0.199,weights,5,0.80,9
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,4,3.551,2.834,1,0,-0.08,faceMorph063.jpg,0.26,2.00,0.52,houseMorph080.jpg,-0.60,1.00,-0.60,3,1.318,right,5,0.80,9
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,4,3.551,2.834,1,0,-0.08,faceMorph063.jpg,0.26,2.00,0.52,houseMorph080.jpg,-0.60,1.00,-0.60,4,0.134,weights,5,0.80,9
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,5,3.048,2.318,1,1,8.60,faceMorph075.jpg,0.50,10.00,5.00,houseMorph032.jpg,0.36,10.00,3.60,0,0.730,weights,5,0.83,9
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,5,3.048,2.318,1,1,8.60,faceMorph075.jpg,0.50,10.00,5.00,houseMorph032.jpg,0.36,10.00,3.60,1,0.935,left,5,0.83,9
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,5,3.048,2.318,1,1,8.60,faceMorph075.jpg,0.50,10.00,5.00,houseMorph032.jpg,0.36,10.00,3.60,2,0.265,weights,5,0.83,9
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,5,3.048,2.318,1,1,8.60,faceMorph075.jpg,0.50,10.00,5.00,houseMorph032.jpg,0.36,10.00,3.60,3,0.985,right,5,0.83,9
2019_May_14_1607,3.0.2,3.1.1,0,1,face,999,1,No Time Pressure,5,3.048,2.318,1,1,8.60,faceMorph075.jpg,0.50,10.00,5.00,houseMorph032.jpg,0.36,10.00,3.60,4,0.133,weights,5,0.83,9
