date, psychopy_version, exp_version, face_version, subject, image, image_val, own_rating, other_rating
2019_May_14_1636,3.0.2,3.1.1,0,999,faceMorph000.jpg,-1.00,4,4
2019_May_14_1636,3.0.2,3.1.1,0,999,faceMorph100.jpg,1.00,4,5
