date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, accuracy
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.501,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,0,0.500,weights,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.501,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,1,0.834,left,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.501,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,2,0.083,weights,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.501,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,3,1.001,right,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,0,2.501,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,4,0.083,weights,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,2.168,0,1,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,0,0.549,weights,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,2.168,0,1,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,1,0.650,left,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,2.168,0,1,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,2,0.134,weights,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,2.168,0,1,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,3,0.766,right,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,1,2.168,0,1,-0.62,faceMorph025.jpg,-0.50,0.33,-0.17,houseMorph096.jpg,-0.92,0.50,-0.46,4,0.068,weights,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,2,1.833,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,0,0.366,weights,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,2,1.833,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,1,0.617,left,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,2,1.833,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,2,0.117,weights,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,2,1.833,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,3,0.650,right,1.00
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,0,2,1.833,0,1,-0.66,faceMorph048.jpg,-0.04,3.00,-0.12,houseMorph059.jpg,-0.18,3.00,-0.54,4,0.083,weights,1.00
