date, psychopy_version, exp_version, face_version, subject, image, image_val, own_rating, other_rating
2019_May_14_1633,3.0.2,3.1.1,0,999,faceMorph000.jpg,-1.00,4,5
2019_May_14_1633,3.0.2,3.1.1,0,999,faceMorph100.jpg,1.00,6,7
