date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, accuracy
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,1,1.017,left,0.80,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,2,0.099,weights,0.80,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,3,0.900,right,0.80,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,4,0.083,weights,0.80,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,5,2.217,left,0.80,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,6,0.083,weights,0.80,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,7,1.607,right,0.80,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,8,0.000,weights,0.80,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,9,0.793,left,0.80,9
2019_Feb_12_1427,3.0.2,3.0.2,0,1,face,999,2,4,7.968,1,1,0.11,faceMorph048.jpg,-0.04,0.50,-0.02,houseMorph037.jpg,0.26,0.50,0.13,10,0.101,weights,0.80,9
