date, psychopy_version, exp_version, face_version, house_version, left, subject, block, trial, rt, response, correct, summed_val_total, face_image, face_val_base, face_mult, face_val_total, house_image, house_val_base, house_mult, house_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, payout
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,0,3.938,1,0,-0.18,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph013.jpg,0.74,1.00,0.74,0,0.583,weights,9,0.00,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,0,3.938,1,0,-0.18,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph013.jpg,0.74,1.00,0.74,1,0.548,left,9,0.00,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,0,3.938,1,0,-0.18,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph013.jpg,0.74,1.00,0.74,2,0.216,weights,9,0.00,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,0,3.938,1,0,-0.18,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph013.jpg,0.74,1.00,0.74,3,0.817,right,9,0.00,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,0,3.938,1,0,-0.18,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph013.jpg,0.74,1.00,0.74,4,0.655,weights,9,0.00,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,0,3.938,1,0,-0.18,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph013.jpg,0.74,1.00,0.74,5,0.363,left,9,0.00,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,0,3.938,1,0,-0.18,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph013.jpg,0.74,1.00,0.74,6,0.065,weights,9,0.00,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,0,3.938,1,0,-0.18,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph013.jpg,0.74,1.00,0.74,7,0.607,right,9,0.00,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,0,3.938,1,0,-0.18,faceMorph004.jpg,-0.92,1.00,-0.92,houseMorph013.jpg,0.74,1.00,0.74,8,0.084,weights,9,0.00,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,1,2.950,0,1,-0.34,faceMorph018.jpg,-0.64,1.00,-0.64,houseMorph035.jpg,0.30,1.00,0.30,0,0.632,weights,5,0.50,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,1,2.950,0,1,-0.34,faceMorph018.jpg,-0.64,1.00,-0.64,houseMorph035.jpg,0.30,1.00,0.30,1,0.616,left,5,0.50,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,1,2.950,0,1,-0.34,faceMorph018.jpg,-0.64,1.00,-0.64,houseMorph035.jpg,0.30,1.00,0.30,2,0.300,weights,5,0.50,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,1,2.950,0,1,-0.34,faceMorph018.jpg,-0.64,1.00,-0.64,houseMorph035.jpg,0.30,1.00,0.30,3,1.283,right,5,0.50,0
2019_Mar_13_0156,3.0.2,3.1.0,0,1,face,999,0,1,2.950,0,1,-0.34,faceMorph018.jpg,-0.64,1.00,-0.64,houseMorph035.jpg,0.30,1.00,0.30,4,0.119,weights,5,0.50,0
