0.0,0.0,0.0,0.0
0.0,211.0,0.0,211.0
0.0,422.0,0.0,422.0
112.0,375.0,99.0,335.0
201.0,248.0,202.0,257.0
216.0,361.0,225.0,332.0
226.0,169.0,225.0,169.0
235.0,124.0,242.0,125.0
240.0,320.0,255.0,334.0
246.0,28.0,232.0,54.0
253.0,185.0,258.0,186.0
259.0,162.0,263.0,162.0
278.0,338.0,285.0,348.0
300.0,0.0,300.0,0.0
300.0,422.0,300.0,422.0
311.0,86.0,299.0,96.0
331.0,337.0,336.0,335.0
338.0,161.0,333.0,162.0
345.0,189.0,341.0,189.0
360.0,323.0,362.0,332.0
368.0,28.0,355.0,51.0
373.0,167.0,375.0,164.0
374.0,109.0,360.0,120.0
375.0,369.0,380.0,326.0
399.0,257.0,403.0,253.0
486.0,373.0,507.0,329.0
600.0,0.0,600.0,0.0
600.0,211.0,600.0,211.0
600.0,422.0,600.0,422.0
